Company,Job_title,Location,Salary,Work Type,Skills,Descriptions,Links
Wiejaya Indonesia,Account Executive,"Bogor Selatan, Bogor, Jawa Barat, Indonesia","Rp4,5jt-Rp6jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/account-executive/16554385-2a75-408c-90ac-8637cadbe2ee?utm_referrer=explore
MAPLE CLINIC,Dokter kecantikan,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Rp5jt-Rp8jt,Penuh Waktu,,"Lulusan S1 kedokteran dan memiliki STR dokter aktif, Pengalaman min. 1 tahun di estetika/ skincare atau memiliki serrifikasi estetika menjadi nilai plus, Komunikatif, ramah, jujur, dan teliti, Memiliki passion di bidang estetik, Penempatan pantai indah kapuk",https://glints.com/id/opportunities/jobs/dokter-kecantikan/01555afa-b7e1-4e7e-bf3b-0b141f187154?utm_referrer=explore
Dfactory Visual,Animator,"Genteng, Surabaya, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Kontrak,,,https://glints.com/id/opportunities/jobs/animator/c651f474-3ad3-4c33-9759-84c834c68872?utm_referrer=explore
Saturuma,Interior Designer,"Cipayung, Jakarta Timur, DKI Jakarta, Indonesia",Rp5jt-Rp8jt,Penuh Waktu,"Wanita, usia max 28 tahun, Memiliki Sim A, Sketchup + Vray",,https://glints.com/id/opportunities/jobs/interior-designer/cf9e54f6-a768-4fbc-b0d1-beb638733226?utm_referrer=explore
CV. Beta Desain Studio,Senior Interior Designer,"Mulyorejo, Surabaya, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"SketchUp, Creativity Skills, Creative Thinking, Interior Designer, Interior Design",,https://glints.com/id/opportunities/jobs/senior-interior-designer/cbca20f2-0fb8-4fbb-94ec-0bcd91cbb44c?utm_referrer=explore
PT Kreasi Insan Digital,Principal PKBM,"Serpong Utara, Tangerang Selatan, Banten, Indonesia",Rp5jt-Rp6jt,Penuh Waktu,,"Minimal pendidikan S1 semua jurusah (lulusan sarjana pendidikan diutamanakan), Memahami kurikulum merdeka/IB/Cambridge, Pernah bekerja pada isntitusi pendidikan minimal 2 tahun, Memiliki motivasi yang tinggi dan jujur, Usia maksimal 37 tahun, Sehat dan mampu melakukan kegiatan dengan mobilitas yang tinggi.",https://glints.com/id/opportunities/jobs/principal-pkbm/bc94d0dd-665b-42a8-9e08-168499b457f5?utm_referrer=explore
PT. Indonesia Hosun Mach Technology,Penerjemah Bahasa Mandarin,"Tandes, Surabaya, Jawa Timur, Indonesia",Rp6jt-Rp10jt,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/penerjemah-bahasa-mandarin/ffaea6d9-a57d-40b7-82f2-3d357ecc6a26?utm_referrer=explore
Pt.sinarbali Binakarya,Supervisor Pajak,"Denpasar Barat, Denpasar, Bali, Indonesia","Rp4,5jt-Rp5,5jt",Penuh Waktu,"Tax Reporting, Tax Regulation, Tax Preparation","Pendidikan Min D3 Pajak /Akuntansi, Berpengalaman menangani Pajak Perusahaan ,mencakup laporan pajak ,Pengolahan data perpajakan dan Regulasi Perpajakan, Mahir dalam mengoperasikan sistem perpajakan di indonesia, Komunikatif,Responsif ,memiliki tanggung jawab dan Integritas yang baik, Terbiasa bekerja dengan target waktu, Siap ditempatkan di area kerja Denpasar Bali",https://glints.com/id/opportunities/jobs/supervisor-pajak/892daf7b-8efd-49a4-8cdc-ddee4b3d1355?utm_referrer=explore
PT VIT PROFESIONAL INDOSEHAT,Asisten Operasional,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Rp5jt,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/asisten-operasional/302eb3d3-67b8-47d2-95b0-c84661fe80e3?utm_referrer=explore
UC Silver & Gold,Desainer Grafis & Brand,"Sukawati, Gianyar, Bali, Indonesia","Rp2,5jt-Rp3jt",Penuh Waktu,"Jujur, teliti, dan rajin, Profesional, Good Teamwork","Membuat dan merancang materi branding atau iklan, Membuat materi iklan cetak dan digital, Mengembangkan Visual Utama dan Materi Pendukung untuk Kampanye Pemasaran, Mendesain materi grafis, penjualan, dan pemasaran, misalnya EDM / Poster / Spanduk / Display Penjualan, Mengelola Desain dari Konsep hingga Produksi, Berinteraksi dengan percetakan eksternal atau kontraktor/pemasok untuk memastikan kualitas terbaik dan pemenuhan tenggat waktu, Mendokumentasikan dengan baik semua file desain",https://glints.com/id/opportunities/jobs/desainer-grafis-and-brand/94e01b52-9d39-456b-abe0-28becabab06c?utm_referrer=explore
PT Sree International Indonesia,Finance and Accounting Executive,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Rp5jt-Rp6jt,Penuh Waktu,,"Lead daily journal transactions, ensuring accuracy and compliance., Oversee the preparation of sales and tax invoices, maintaining high standards in financial documentation., Conduct regular reviews of bank balances, leading comprehensive bank reconciliations., Manage the end-to-end process of payments for all purchasing and expenses., Take charge of compiling comprehensive financial statements, offering insights for decision-making.",https://glints.com/id/opportunities/jobs/finance-and-accounting-executive/4d3f3ce9-46d6-4616-a9c8-a4e3b093805c?utm_referrer=explore
PT Bawana Margatama,Software Developer,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Rp6jt-Rp10jt,Penuh Waktu,"Object-Oriented Programming (OOP), API, PostgreSQL, Spring Boot, Middleware, Microservices Architecture, Oracle, MSSQL Server, Java Programming","Creating, developing, and maintaining efficient, reusable, and dependable Java-based programs, Contributing to all phases of the development lifecycle, Writing unit and UI test to identify malfunction, Maintain up-to-date code documentation, Contributing to code reviews, Troubleshoot and debug to optimize performance",https://glints.com/id/opportunities/jobs/software-developer/09fbced1-012f-45c6-9281-f8438416ec2a?utm_referrer=explore
RecruitFirst,Sales Executive,"Karanganyar, Kebumen, Jawa Tengah, Indonesia",Rp2jt,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/sales-executive/54c326fd-ad90-4f5b-bc20-97924cb2201d?utm_referrer=explore
GRIT AI,Personal Assistant (Mandarin Speaker),"Pasar Minggu, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/personal-assistant-mandarin-speaker/003966c4-54f5-45b2-908a-9b905e9ef599?utm_referrer=explore
PT Wellen Brothers,TAX STAFF,"Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Accurate System, Tax Accounting, Tax",,https://glints.com/id/opportunities/jobs/tax-staff/57a358ae-ac5f-42d5-b7bf-3cbee8232730?utm_referrer=explore
LAF Project,Live streamer & Content creator,"Bojongloa Kidul, Bandung, Jawa Barat, Indonesia","Rp2,5jt-Rp4,5jt",Penuh Waktu,"Komunikatif, Content Creation, Content Strategy","Menghadirkan siaran langsung yang menarik dan menghibur kepada audiens., Berinteraksi secara aktif dengan audiens melalui chat dan komentar., Membuat content video untuk kebutuhan promosi di media sosial, Menyampaikan konten dengan jelas dan memikat menggunakan kemampuan berbicara yang baik., Memahami tren dan topik yang sedang populer untuk menarik minat audiens., Memastikan kelancaran teknis selama siaran langsung., Mempromosikan dan memperkenalkan produk atau layanan perusahaan kepada audiens.",https://glints.com/id/opportunities/jobs/live-streamer-and-content-creator/0d3c50ef-6a7e-4173-9097-d5ca6188932c?utm_referrer=explore
LAF Project,Live streamer & Content creator,"Bojongloa Kidul, Bandung, Jawa Barat, Indonesia","Rp2,5jt-Rp4,5jt",Paruh Waktu,,"Menghadirkan siaran langsung yang menarik dan menghibur kepada audiens., Berinteraksi secara aktif dengan audiens melalui chat dan komentar., Membuat content video untuk kebutuhan promosi di media sosial, Menyampaikan konten dengan jelas dan memikat menggunakan kemampuan berbicara yang baik., Memahami tren dan topik yang sedang populer untuk menarik minat audiens., Memastikan kelancaran teknis selama siaran langsung., Mempromosikan dan memperkenalkan produk atau layanan perusahaan kepada audiens.",https://glints.com/id/opportunities/jobs/live-streamer-and-content-creator/b34a8c9a-0fba-4a63-9b38-92e37461a685?utm_referrer=explore
PT Crieta,Accounting & Tax,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Mengerti pekerjaan yang berhubungan dengan pekerjaan AR/AP, Melakukan Rekonsiliasi Piutang Usaha/Hutang Usaha, Menerima dan Memeriksa pembayaran yang masuk/keluar setiap harinya dan memastikan jika sudah benar sesuai dengan Tagihan, Menyusun Laporan Aging Piutang Perminggu, Menyelesaikan Dan Membuat Laporan Tagihan Bermasalah, Melakukan pengarsipan dokumen baik arsip Faktur Pajak dan dokumen penagihan lainnya dengan rapih, Melakukan pemeriksaan/audit rutin dan memverifikasi atas semua transaksi perusahaan sudah sesuai dengan tarif pajak yang berlaku ., Menjalankan tugas-tugas lainnya yang berhubungan dengan laporan keuangan perusahaan",https://glints.com/id/opportunities/jobs/accounting-and-tax/8b4a2f06-8c81-42bc-a374-7a419756494c?utm_referrer=explore
PT Sanjaya Garmen Aksesoris,Sales Canvasser,"Tambora, Jakarta Barat, DKI Jakarta, Indonesia",Rp3jt,Kontrak,"Sales Canvassing, Direct Sales, Sales Operations, Retail Sales, Sales Marketing",,https://glints.com/id/opportunities/jobs/sales-canvasser/cb58fe51-5e83-42ce-838f-084f0f770f6b?utm_referrer=explore
