id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link
gl5,Animator,Media Fakta Global,3ds Max,"Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Minimal S1 di bidang Animasi, Seni Rupa atau bidang terkait, Pengalaman 1-3 tahun di media kreatif, Pengalaman yang terbukti dengan portofolio mendukung (Animasi), Kemampuan dalam menggunakan Adobe illustrator, Adobe After Effect, Autodesk Maya, Rotoscope Animation dan lain sebagainya., Pengetahuan tentang rigging 3D, Mampu membuat Storyline dan Storyboard, Paham alur kerja media., Kemampuan bekerja secara tim maupun individu., Mampu memahami kebutuhan industri., Pengalaman organisasi/komunitas menjadi nilai tambah, Pengalaman kerja di media massa menjadi nilai tambah, Menguasai bahasa Inggris menjadi nilai tambah, Bersedia bekerja dibawah tekanan, Berpikir kreatif dan strategis, Memiliki keterampilan interpersonal dan komunikasi yang bagus",https://glints.com/id/opportunities/jobs/animator/e4542a20-e282-4e13-a6c2-0d1c8919c9f0?utm_referrer=explore
gl6,3D artist,PT. Citra Mediatama Indonesia,3D MODELLING BLENDER,"Mampang Prapatan, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Candidates must hold S1 or D3 qualifications., Analyzing and discussing project briefs with the Corporate Director and Head of Creative Production is a key responsibility., The ability to produce 3D designs according to approved guidelines from the Corporate Director is essential., Proficiency in Blender 3D Animation+, Adobe Photoshop, and Adobe After Effects (VFX & Motion Graphics) is a requirement., Rendering 3D design drafts while ensuring adherence to quality standards is expected., Designing automotive 3D models is a mandatory skill., Quality control of 3D designs before reporting to the Corporate Director is part of the job., Candidates should be prepared to await feedback from the Corporate Director and Client on 3D designs., Ensuring the quality of final 3D designs and taking responsibility for revisions is obligatory., Collaborating with the Corporate Director on final Quality Control before client presentations is a crucial aspect of the role., The position requires on-site work at our office (WFO).",https://glints.com/id/opportunities/jobs/3d-artist/abf80a51-06b8-480f-99c5-c7fc5aa244a7?utm_referrer=explore
gl10,Sales Executive,PT Istana Surya Perkasa,Sales and Marketing,"Sawahan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Sales and Marketing, B2b Sales, Retail Sales",SMA/SMK,"Laki- Laki, maksimal 38 tahun, Pendidikan minimal SMA/SMK/D1 (Teknik Mesin diutamakan), Pengalaman minimal 2 tahun di bidang yang sama, Kemampuan komunikasi dan negosiasi yang baik, Memahami penjualan mesin, sparepart dan dinami, Pengetahuan tentang administrasi sales  teknologi informasi diperlukan, Bersedia dinas luar kota dan pulau, Diutamakan menguasai wilayah Indonesia Barat ( JABAR, DKI, BANTEN, & SUMATERA), Penempatan Surabaya",https://glints.com/id/opportunities/jobs/sales-executive/f142a78e-98ce-4e61-b418-e00c746bd662?utm_referrer=explore
gl11,Digital Paid-Advertising Associates,Based By Basil,Google Ads,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp4,5jt-Rp6jt",1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Manage brand ad account on Ads Manager and monitor their progress throughout the day. (Mainly Facebook/Meta Ads), Provide daily ad reports detailing any changes in their performance as well as any changes you made to its activity., Monitor and maximize campaign budgets to meet their respective KPIs., Content planning and copywriting for clients., Write up monthly performance report.",https://glints.com/id/opportunities/jobs/digital-paid-advertising-associates/92198b26-5728-4eb4-a8be-31fd20fb7267?utm_referrer=explore
gl12,Senior Product Admin,PT Smoot Motor Indonesia,Standard Operating Procedure (SOP),"Cakung, Jakarta Timur, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"Standard Operating Procedure (SOP), Microsoft Office, Office Administration, Administration",Diploma (D1 - D4),"Laki-laki, Pendidikan Minimal D3/S1 Manajemen / Administrator, berpengalaman minimal 3 tahun di level staff), Berpengalaman membuat SOP / Instruksi Kerja / Proposal, Berpengalaman mengoperasikan dan mengolah data di Ms Office / Google Workspace, Memiliki kemampuan dalam mengalisa proses dan Problem Solving, Kemampuan komunikasi dan manajemen waktu yang baik",https://glints.com/id/opportunities/jobs/senior-product-admin/ccad0981-318c-416e-b3b2-bf73bce8b8dd?utm_referrer=explore
gl14,Sales Supervisor area Semarang,PT. Ulam Tiba Halim (marifood),Strategi Penjualan,"Ngaliyan, Semarang, Jawa Tengah, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp3,5jt-Rp3,5jt",1 – 3 tahun,Tidak ditampilkan,Sarjana (S1),"Mengatur dan melakukan kunjungan penjualan, Menjaga hubungan dengan customer, Bekerja sama dengan tim yang ada dibawahnya untuk mencapai target penjualan, Menjalankan program marketing yang berjalan, Mengelola catatan aktivitas penjualan dan menyusun laporan penjualan",https://glints.com/id/opportunities/jobs/sales-supervisor-area-semarang/59c56c7f-1725-4e03-b0f0-da31e63775b9?utm_referrer=explore
gl15,Desain Grafis,PT Tripoint Centralindo,Desain Grafis,"Sidoarjo, Sidoarjo, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Membuat dan merancang materi branding atau iklan, Membuat materi iklan cetak dan digital, Mengembangkan Visual Utama dan Materi Pendukung untuk Kampanye Pemasaran, Membantu dalam pengelolaan situs web, buletin, dan lainny, Mendesain materi grafis, penjualan, dan pemasaran, misalnya EDM / Poster / Spanduk / Display Penjualan, Mengelola Desain dari Konsep hingga Produksi, Berinteraksi dengan percetakan eksternal atau kontraktor/pemasok untuk memastikan kualitas terbaik dan pemenuhan tenggat waktu, Mendokumentasikan dengan baik semua file desain",https://glints.com/id/opportunities/jobs/desain-grafis/3c11f1e5-41cb-4005-a019-e84ed6da1752?utm_referrer=explore
gl17,Video Editor,PT Ethos Kreatif Indonesia,Sosial Media Management,"Kemayoran, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,SMA/SMK,"Pendidikan minimal SMA/SMK semua jurusan, Berpengalaman minimal 1 tahun di bidang yang sama menjadi nilai plus, Mahir dalam penggunaan Software Adobe Premiere Pro atau Davinci Ressolve Edit, Memiliki kepekaan yang kuat terhadap komposisi, pencahayaan, warna, serta keterampilan teknis yang kuat, Mampu untuk mempelajari perangkat lunak/teknik baru dengan cepat, Mengikuti tren social media, tren editing dan berpikir kreatif",https://glints.com/id/opportunities/jobs/video-editor/9d3c422a-0415-47d1-9508-e9f29d5330ce?utm_referrer=explore
gl18,HR Senior Staff,Mutiara Harapan Islamic School,HR Generalist,"Pondok Aren, Tangerang Selatan, Banten, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"HR & Payroll, HR Generalist, End To End Recruitment, Personnel Management, Legal Drafting",Sarjana (S1),"Manage the complete recruitment life cycle, including sourcing, screening, interviewing, and onboarding candidates., Ensure strict compliance with employment regulations, teacher and lecturer regulations, and other pertinent laws within an educational setting., Exhibit strong administrative skills to efficiently manage HR-related tasks and streamline processes., Develop and implement HR policies and procedures that align with the school's values and objectives., Collaborate closely with various departments to address HR-related challenges and provide guidance.",https://glints.com/id/opportunities/jobs/hr-senior-staff/e02252ae-6cbc-4bbf-a689-0ce297cb816f?utm_referrer=explore
gl19,Business Development Manager,PT Beautinesia Media Nusantara,Sales Marketing,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"Advertising Agency, B2b Sales, Good Communication Skills, dealing with client, Sales Marketing",Sarjana (S1),"Building, developing, and sustaining solid relationships with company stakeholders and customers., Identifying new business opportunities and the most effective approach to pursue them., Building and managing client pipelines, and closing deals., Achieving business development targets., Working closely and coordinating with the operational team and business team in Beautynesia., Analyzing customer feedback data to improve and expand our offerings and deepen our relationships.",https://glints.com/id/opportunities/jobs/business-development-manager/69dbe46b-f2e8-43af-9867-996c4b54b625?utm_referrer=explore
gl20,Supply Chain Management Staff,PT Ethos Kreatif Indonesia,Data Analyst,"Cilacap Tengah, Cilacap, Jawa Tengah, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,Tidak ditampilkan,Diploma (D1 - D4),"Mengelola proses perencanaan inventaris untuk memastikan tingkat stok yang optimal, Menganalisis data penjualan dan meninjau forecast accuracy, Menjaga realisasi perencanaan inbound dan outbound untuk memastikan seluruh transaksi tercatat berdasarkan permintaan, Berhubungan dengan Sales, Principal dan bagian lain untuk mengatasi masalah yang terkait dengan proses demand supply",https://glints.com/id/opportunities/jobs/supply-chain-management-staff/5eb6b21d-2ec0-4711-be87-0d2560bb3f6d?utm_referrer=explore
