Company,Job_title,Location,Salary,Links
Teleperformance,Call Center Representative - Tagalog Speaker,Yogyakarta,"IDR 8,000,000 - IDR 11,200,000",https://www.jobstreet.co.id/id/job/call-center-representative-tagalog-speaker-4518858?jobId=jobstreet-id-job-4518858&sectionRank=61&token=0~85db8393-1492-42e2-bac0-a5a10ccbf14f&fr=SRP%20Job%20Listing
PT Mitracomm Ekasarana,CUSTOMER SERVICE - BATAM & PEKANBARU,Bukittinggi,"IDR 3,300,000 - IDR 4,500,000",https://www.jobstreet.co.id/id/job/customer-service-batam-pekanbaru-4515599?jobId=jobstreet-id-job-4515599&sectionRank=421&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
PT Baraka Sarana Tama,Management Trainee Head of Branch Operations,Madiun,"IDR 3,200,000 - IDR 3,400,000",https://www.jobstreet.co.id/id/job/management-trainee-head-of-branch-operations-4518853?jobId=jobstreet-id-job-4518853&sectionRank=511&token=0~dd516bf6-5332-4c7b-9a8a-48ed50ccaa8c&fr=SRP%20Job%20Listing
CV Goshen Power,Driver,Sidoarjo,"IDR 3,000,000 - IDR 3,500,000",https://www.jobstreet.co.id/id/job/driver-4517889?jobId=jobstreet-id-job-4517889&sectionRank=1351&token=0~56b1ee54-4da6-4925-a572-12dcbfb9dd6c&fr=SRP%20Job%20Listing
PT Petra Sejahtera Abadi,Supervisor E-Commerce Operation,Tangerang,"IDR 6,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/supervisor-e-commerce-operation-4518799?jobId=jobstreet-id-job-4518799&sectionRank=841&token=0~68d93af3-a6e7-4b49-96dd-1e40171a9a41&fr=SRP%20Job%20Listing
Bali Family Development,PROPERTY SALES (BALI),Bali,"IDR 8,000,000 - IDR 12,000,000",https://www.jobstreet.co.id/id/job/property-sales-bali-4518848?jobId=jobstreet-id-job-4518848&sectionRank=213&token=0~af8a99b7-4565-4a40-a9a2-75a6e3bca5c9&fr=SRP%20Job%20Listing
JH Interior,Interior Project Manager,Tangerang,"IDR 6,500,000 - IDR 8,500,000",https://www.jobstreet.co.id/id/job/interior-project-manager-4518939?jobId=jobstreet-id-job-4518939&sectionRank=662&token=0~fbd4efba-d1c5-49de-ac6d-03068cdff40a&fr=SRP%20Job%20Listing
PT Mitra Kerja Utama,Quality Control,Surabaya,"IDR 4,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/quality-control-4516680?jobId=jobstreet-id-job-4516680&sectionRank=811&token=0~259df4d8-811e-497c-8d13-e71571f60fea&fr=SRP%20Job%20Listing
CSTI,ACCOUNTING MANAGER,Karawang,"IDR 10,000,000 - IDR 14,000,000",https://www.jobstreet.co.id/id/job/accounting-manager-4518949?jobId=jobstreet-id-job-4518949&sectionRank=961&token=0~eac63e12-d402-4063-b1fd-a9d1a5c15d57&fr=SRP%20Job%20Listing
PT Karya Bintang Mandiri,Admin Produksi & Bahan Baku,Sidoarjo,"IDR 4,600,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/admin-produksi-bahan-baku-4518955?jobId=jobstreet-id-job-4518955&sectionRank=1&token=0~c3cc334b-459c-4821-a769-8334fd2ef181&fr=SRP%20Job%20Listing
Precious Dental Care,Manajer Operasional,Jakarta Utara,"IDR 6,000,000 - IDR 8,400,000",https://www.jobstreet.co.id/id/job/manajer-operasional-4516137?jobId=jobstreet-id-job-4516137&sectionRank=721&token=0~f5325532-66cf-4ead-82a5-50cf12a31ba1&fr=SRP%20Job%20Listing
PT Karya Bintang Mandiri,Penjaga Tungku Pemanas,Sidoarjo,"IDR 4,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/penjaga-tungku-pemanas-4518988?jobId=jobstreet-id-job-4518988&sectionRank=331&token=0~b63339e4-722a-4e5f-a7a1-2963cb6531b9&fr=SRP%20Job%20Listing
PT. Prima Bersama Berkat,Head of Finance,Tangerang,"IDR 20,000,000 - IDR 25,000,000",https://www.jobstreet.co.id/id/job/head-of-finance-4517225?jobId=jobstreet-id-job-4517225&sectionRank=1352&token=0~56b1ee54-4da6-4925-a572-12dcbfb9dd6c&fr=SRP%20Job%20Listing
PT BANDAR BOGA NUSANTARA,Legal Staff,Jakarta Selatan,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/legal-staff-4518772?jobId=jobstreet-id-job-4518772&sectionRank=572&token=0~dfc31a67-8fac-4af6-bf91-034f9be4e42f&fr=SRP%20Job%20Listing
PT Trusur Unggul Teknusa,Teknisi Laboratorium (FREELANCE),Jakarta Timur,"IDR 2,500,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/teknisi-laboratorium-freelance-4517143?jobId=jobstreet-id-job-4517143&sectionRank=1531&token=0~5e3009b4-0c2b-4505-85fd-88b25abb3cb1&fr=SRP%20Job%20Listing
Nabawi Mulia Travel,AKUNTING,Yogyakarta,"IDR 2,500,000 - IDR 3,000,000",https://www.jobstreet.co.id/id/job/akunting-4518504?jobId=jobstreet-id-job-4518504&sectionRank=782&token=0~3a8477aa-9b52-4135-8403-7aca5dd8cdd6&fr=SRP%20Job%20Listing
PT. KALIMAS SARANA SUPLINDO,Helper Gudang,Jakarta Pusat,"IDR 4,750,000 - IDR 4,950,000",https://www.jobstreet.co.id/id/job/helper-gudang-4518004?jobId=jobstreet-id-job-4518004&sectionRank=362&token=0~47629d01-d935-4b57-9162-1c02868ee0b9&fr=SRP%20Job%20Listing
PT Mandiri Pallazo Kreasindo,Admin Purchasing,Jakarta Utara,"IDR 3,000,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/admin-purchasing-4515205?jobId=jobstreet-id-job-4515205&sectionRank=1232&token=0~b21ab8e8-4690-41a6-ab61-928f58cdf4d1&fr=SRP%20Job%20Listing
PT Andalan Anak Bangsa (KPSG),"PERAWAT: IPD, OPD, Endoskopi, IGD, ICU, & OT (Bandung)",Bandung,"IDR 4,700,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/perawat%3A-ipd-opd-endoskopi-igd-icu-ot-bandung-4517987?jobId=jobstreet-id-job-4517987&sectionRank=902&token=0~0e9d65d8-9a7f-44cf-9d81-0faeef19653c&fr=SRP%20Job%20Listing
Pondok Lensa,"HR GA Staff (Bali, 2023)",Seminyak,"IDR 3,000,000 - IDR 4,000,000",https://www.jobstreet.co.id/id/job/hr-ga-staff-bali-2023-4517648?jobId=jobstreet-id-job-4517648&sectionRank=422&token=0~ef7a49e1-9c88-4ea8-8c60-e1803c396a7e&fr=SRP%20Job%20Listing
PT ZMG Telekomunikasi Servise Indonesia,"Finance,Accounting,Tax Ass. Manager",Jakarta Barat,"IDR 10,000,000 - IDR 18,000,000",https://www.jobstreet.co.id/id/job/finance-accounting-tax-ass.-manager-4518269?jobId=jobstreet-id-job-4518269&sectionRank=214&token=0~af8a99b7-4565-4a40-a9a2-75a6e3bca5c9&fr=SRP%20Job%20Listing
PT ANICO GROUP,Business Manager (Trade-in),Jakarta Utara,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/business-manager-trade-in-4518763?jobId=jobstreet-id-job-4518763&sectionRank=1741&token=0~608a6c2c-dd21-4f49-9247-da9edf28ab3c&fr=SRP%20Job%20Listing
sns.ac,Mekanik Troubleshooting,Ambon,"IDR 6,000,000 - IDR 9,000,000",https://www.jobstreet.co.id/id/job/mekanik-troubleshooting-4517781?jobId=jobstreet-id-job-4517781&sectionRank=1113&token=0~7685761f-7cd2-460e-bd30-c338616c3175&fr=SRP%20Job%20Listing
PT. SHAN HAI MAP,Import Consultant,Jakarta Barat,"IDR 7,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/import-consultant-4518511?jobId=jobstreet-id-job-4518511&sectionRank=1143&token=0~03af6f7a-bc29-4bc0-a38a-a085effd5373&fr=SRP%20Job%20Listing
CV tasnim,Admin Data Entry,Bandung,"IDR 3,000,000 - IDR 3,700,000",https://www.jobstreet.co.id/id/job/admin-data-entry-4518427?jobId=jobstreet-id-job-4518427&sectionRank=241&token=0~317ce3cb-4347-4dc6-bccc-156ac6fb4b5b&fr=SRP%20Job%20Listing
PT Mitra Informatika,Account Manager,Jakarta Raya,"IDR 8,000,000 - IDR 11,000,000",https://www.jobstreet.co.id/id/job/account-manager-4517332?jobId=jobstreet-id-job-4517332&sectionRank=1593&token=0~07190b0c-aaf8-4128-9fc0-919b97badbb9&fr=SRP%20Job%20Listing
PT Kelola Jasa Artha (Kejar),Finance & Accounting Staff,Jakarta Pusat,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/finance-accounting-staff-4516951?jobId=jobstreet-id-job-4516951&sectionRank=783&token=0~3a8477aa-9b52-4135-8403-7aca5dd8cdd6&fr=SRP%20Job%20Listing
PT Putramaya Abadi,Supervisor Digital Marketing & E-commerce,Jakarta Raya,"IDR 7,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/supervisor-digital-marketing-e-commerce-4518468?jobId=jobstreet-id-job-4518468&sectionRank=91&token=0~c50536a6-5a50-42d5-b949-ab10e5e60cbd&fr=SRP%20Job%20Listing
PT Hermed,Penanggung Jawab Produksi,Tangerang,"IDR 7,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/penanggung-jawab-produksi-4517770?jobId=jobstreet-id-job-4517770&sectionRank=874&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT JAC Consulting Indonesia,Sales Staff (B2B - Trading),Jakarta Utara,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/sales-staff-b2b-trading-4516766?jobId=jobstreet-id-job-4516766&sectionRank=1742&token=0~608a6c2c-dd21-4f49-9247-da9edf28ab3c&fr=SRP%20Job%20Listing
PT Dinamika Megatama Citra,Teknisi Cold Storage,Mojokerto,"IDR 4,500,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/teknisi-cold-storage-4517998?jobId=jobstreet-id-job-4517998&sectionRank=1202&token=0~6c00a9e9-67aa-49a6-b7b3-50951106fb24&fr=SRP%20Job%20Listing
PT Inovasi Anak Indonesia (Parkee),IT Support,Jakarta Pusat,"IDR 4,700,000 - IDR 4,900,000",https://www.jobstreet.co.id/id/job/it-support-4515191?jobId=jobstreet-id-job-4515191&sectionRank=1474&token=0~39aee3b0-1669-4866-a268-361e61dec0c5&fr=SRP%20Job%20Listing
Perusahaan Dirahasiakan,Desain grafis,Tangerang,"IDR 4,000,000 - IDR 5,600,000",https://www.jobstreet.co.id/id/job/desain-grafis-4518847?jobId=jobstreet-id-job-4518847&sectionRank=964&token=0~eac63e12-d402-4063-b1fd-a9d1a5c15d57&fr=SRP%20Job%20Listing
Allura Florist,PERANGKAI BUNGA,Tangerang,"IDR 2,500,000 - IDR 4,500,000",https://www.jobstreet.co.id/id/job/perangkai-bunga-4518003?jobId=jobstreet-id-job-4518003&sectionRank=1084&token=0~530a1051-fbd7-4ad9-80af-8bc7dc7ecb1f&fr=SRP%20Job%20Listing
Celebrity Dental Clinic,STAFF HRD,Tangerang,"IDR 3,000,000 - IDR 4,500,000",https://www.jobstreet.co.id/id/job/staff-hrd-4515502?jobId=jobstreet-id-job-4515502&sectionRank=875&token=0~e524793e-7696-4cf3-9951-aaaf124ca4ee&fr=SRP%20Job%20Listing
PT Warna Abadi Mitra Bersama,Account Payable Staff (Finance Staff),Sleman,"IDR 2,300,000 - IDR 2,400,000",https://www.jobstreet.co.id/id/job/account-payable-staff-finance-staff-4515292?jobId=jobstreet-id-job-4515292&sectionRank=1412&token=0~a123045e-e805-4720-b5aa-1d52aaa35583&fr=SRP%20Job%20Listing
PT. Banban Indonesia Gemilang,Social Media & KOL Specialist,Jakarta Raya,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/social-media-kol-specialist-4518017?jobId=jobstreet-id-job-4518017&sectionRank=545&token=0~34ba7601-569b-43b3-a8ca-6dbf5ca09d7e&fr=SRP%20Job%20Listing
PT Qinfa Mining Industri,Laboratory Analyst (Lab Analyst Spv),Kotabaru,"IDR 8,000,000 - IDR 15,000,000",https://www.jobstreet.co.id/id/job/laboratory-analyst-lab-analyst-spv-4517699?jobId=jobstreet-id-job-4517699&sectionRank=667&token=0~fbd4efba-d1c5-49de-ac6d-03068cdff40a&fr=SRP%20Job%20Listing
Trackerindo Anugerah Sejahtera CV,Product Designer,Bandung,"IDR 3,200,000 - IDR 4,480,000",https://www.jobstreet.co.id/id/job/product-designer-4518895?jobId=jobstreet-id-job-4518895&sectionRank=905&token=0~0e9d65d8-9a7f-44cf-9d81-0faeef19653c&fr=SRP%20Job%20Listing
PT. Graha Perdana Indah,Promotion Staff,Depok,"IDR 5,000,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/promotion-staff-4517284?jobId=jobstreet-id-job-4517284&sectionRank=124&token=0~958bc18d-13dc-4bd8-a7c4-bbbdacfd70ce&fr=SRP%20Job%20Listing
PT  Oriontama Jaya,Administrasi,Surabaya,"IDR 3,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/administrasi-4518908?jobId=jobstreet-id-job-4518908&sectionRank=242&token=0~317ce3cb-4347-4dc6-bccc-156ac6fb4b5b&fr=SRP%20Job%20Listing
PT. UBC Medical Indonesia (Jakarta),Business Development Medical Devices IVD,Jakarta Timur,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/business-development-medical-devices-ivd-4516591?jobId=jobstreet-id-job-4516591&sectionRank=454&token=0~fa33a9c2-ef25-4896-ae6f-cb49ef52425e&fr=SRP%20Job%20Listing
PT Sinarmonas Industries,Staff LSMK3,Banten,"IDR 4,584,520 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/staff-lsmk3-4518442?jobId=jobstreet-id-job-4518442&sectionRank=397&token=0~e7a7d03f-ca41-48a0-8ecc-c39f99367986&fr=SRP%20Job%20Listing
PT Kencana Panelindo,Drafter,Jakarta Barat,"IDR 5,000,000 - IDR 6,500,000",https://www.jobstreet.co.id/id/job/drafter-4516529?jobId=jobstreet-id-job-4516529&sectionRank=154&token=0~09511eb4-c57d-48c2-8152-d0ef3402ab7a&fr=SRP%20Job%20Listing
PT Mano Marion,KEPALA TEKNIK - Perusahaan BUS / ELF (Mesin Diesel),Jakarta Timur,"IDR 4,500,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/kepala-teknik-perusahaan-bus-elf-mesin-diesel-4519073?jobId=jobstreet-id-job-4519073&sectionRank=93&token=0~c50536a6-5a50-42d5-b949-ab10e5e60cbd&fr=SRP%20Job%20Listing
PT AXA Mandiri Financial Services,Financial Advisor -  Area Maluku & Maluku Utara,Maluku,"IDR 2,460,000 - IDR 3,198,000",https://www.jobstreet.co.id/id/job/financial-advisor-area-maluku-maluku-utara-4517282?jobId=jobstreet-id-job-4517282&sectionRank=1566&token=0~00b4b701-5616-4a55-99bb-fcbaf55b100e&fr=SRP%20Job%20Listing
PT Catur Sentosa Adiprana Tbk,IT Staff,Jakarta Barat,"IDR 5,200,000 - IDR 5,500,000",https://www.jobstreet.co.id/id/job/it-staff-4518977?jobId=jobstreet-id-job-4518977&sectionRank=275&token=0~85ea0121-5607-4751-b85f-ae8600cd99cc&fr=SRP%20Job%20Listing
PT Jaya Fermex,Asst Technical Baker - Riau,Riau,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/asst-technical-baker-riau-4517663?jobId=jobstreet-id-job-4517663&sectionRank=1023&token=0~8f9b6734-1c6c-4cae-9ae5-fd25712866e6&fr=SRP%20Job%20Listing
CV. Berkat Saintifindo,STAFF HRD,Medan,"IDR 4,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/staff-hrd-4517126?jobId=jobstreet-id-job-4517126&sectionRank=698&token=0~9abdf574-e804-454c-acd0-3191ba3bbbbb&fr=SRP%20Job%20Listing
PT WISESTYLE TRADING INTERNATIONAL,IT Engineer,Jakarta Barat,"IDR 5,000,000 - IDR 7,500,000",https://www.jobstreet.co.id/id/job/it-engineer-4516372?jobId=jobstreet-id-job-4516372&sectionRank=126&token=0~958bc18d-13dc-4bd8-a7c4-bbbdacfd70ce&fr=SRP%20Job%20Listing
PT Bundamedik Tbk,Marketing Staff,Jakarta Pusat,"IDR 5,000,000 - IDR 7,000,000",https://www.jobstreet.co.id/id/job/marketing-staff-4518601?jobId=jobstreet-id-job-4518601&sectionRank=515&token=0~dd516bf6-5332-4c7b-9a8a-48ed50ccaa8c&fr=SRP%20Job%20Listing
PT Adira Semesta Industry,Industrial Engineering,Bandung,"IDR 4,000,000 - IDR 5,600,000",https://www.jobstreet.co.id/id/job/industrial-engineering-4517904?jobId=jobstreet-id-job-4517904&sectionRank=786&token=0~3a8477aa-9b52-4135-8403-7aca5dd8cdd6&fr=SRP%20Job%20Listing
PT LUMIRA TALENTA INDONESIA,HRMS Manager,Karawang,"IDR 16,000,000 - IDR 17,000,000",https://www.jobstreet.co.id/id/job/hrms-manager-4517617?jobId=jobstreet-id-job-4517617&sectionRank=1385&token=0~969a56c5-bc12-41aa-822a-6203e6a5bc90&fr=SRP%20Job%20Listing
CV GIGA SOLUSI,Field Applications Engineer,Jakarta Barat,"IDR 4,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/field-applications-engineer-4515807?jobId=jobstreet-id-job-4515807&sectionRank=1054&token=0~b12aad0d-ce7f-4b2e-925a-fc38787a2ad5&fr=SRP%20Job%20Listing
PT. INTISUMBER BAJASAKTI,Organization Development Specialist,Jakarta Utara,"IDR 9,000,000 - IDR 12,600,000",https://www.jobstreet.co.id/id/job/organization-development-specialist-4516379?jobId=jobstreet-id-job-4516379&sectionRank=995&token=0~6743374a-dc0b-4223-9a6d-434ff58c2700&fr=SRP%20Job%20Listing
PT Babatan Kusuma Jaya,Sales Analyst,Surabaya,"IDR 4,500,000 - IDR 6,000,000",https://www.jobstreet.co.id/id/job/sales-analyst-4518046?jobId=jobstreet-id-job-4518046&sectionRank=1237&token=0~b21ab8e8-4690-41a6-ab61-928f58cdf4d1&fr=SRP%20Job%20Listing
PT Tenaga Kimia Indonesia,HR & LEGAL,Jakarta Raya,"IDR 7,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/hr-legal-4517172?jobId=jobstreet-id-job-4517172&sectionRank=365&token=0~47629d01-d935-4b57-9162-1c02868ee0b9&fr=SRP%20Job%20Listing
CGR Group,Project Manager Real Estate Developer,Sidoarjo,"IDR 5,000,000 - IDR 10,000,000",https://www.jobstreet.co.id/id/job/project-manager-real-estate-developer-4516501?jobId=jobstreet-id-job-4516501&sectionRank=1414&token=0~a123045e-e805-4720-b5aa-1d52aaa35583&fr=SRP%20Job%20Listing
PT. Semesta Mandiri Indonesia (SEMINDO),PLANNER,Kalimantan Timur,"IDR 7,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/planner-4515869?jobId=jobstreet-id-job-4515869&sectionRank=1686&token=0~163eaba1-3577-4cbf-a0c7-9bad499815c9&fr=SRP%20Job%20Listing
PT Gunaseva Edu Vokasi,Purchasing Staff,Depok,"IDR 3,000,000 - IDR 4,500,000",https://www.jobstreet.co.id/id/job/purchasing-staff-4517698?jobId=jobstreet-id-job-4517698&sectionRank=516&token=0~dd516bf6-5332-4c7b-9a8a-48ed50ccaa8c&fr=SRP%20Job%20Listing
Mikkro Espresso,HRD,Jakarta Selatan,"IDR 5,000,000 - IDR 8,000,000",https://www.jobstreet.co.id/id/job/hrd-4516257?jobId=jobstreet-id-job-4516257&sectionRank=604&token=0~1a68a61f-fa54-4d01-b774-c14e65eb37dc&fr=SRP%20Job%20Listing
PT. Papertech Indonesia,Operator QC (Quality Control),Jawa Barat,"IDR 4,000,000 - IDR 5,000,000",https://www.jobstreet.co.id/id/job/operator-qc-quality-control-4517694?jobId=jobstreet-id-job-4517694&sectionRank=36&token=0~adbd6dd3-5959-47db-bb19-0260ad7ef617&fr=SRP%20Job%20Listing
PT JAC Consulting Indonesia,Junior Business Coordinator (Trading Company),Jakarta Selatan,"IDR 5,280,000 - IDR 7,500,000",https://www.jobstreet.co.id/id/job/junior-business-coordinator-trading-company-4517475?jobId=jobstreet-id-job-4517475&sectionRank=1087&token=0~530a1051-fbd7-4ad9-80af-8bc7dc7ecb1f&fr=SRP%20Job%20Listing
Multi Prima Entakai (Jakarta),Accounting Staff,Jakarta Barat,"IDR 4,500,000 - IDR 6,300,000",https://www.jobstreet.co.id/id/job/accounting-staff-4515194?jobId=jobstreet-id-job-4515194&sectionRank=1324&token=0~dbc4da5f-01bc-4e1e-81b3-7f096b018cb5&fr=SRP%20Job%20Listing
