id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
gl0,Posisi Bidang Purchasing & Procurement Lainnya,PT. Intav Prima Solusindo,Analytical Thinking,"Tarumajaya, Bekasi, Jawa Barat, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp4jt-Rp5jt,1 – 3 tahun,"Team Work, Analytical Thinking, Detailed Oriented, Fast learning, Good Communication Skills, Office Administration",Sarjana (S1),,https://glints.com/id/opportunities/jobs/posisi-bidang-purchasing-and-procurement-lainnya/1cb011b3-a92c-419b-a81e-32b7b1e2899f?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/ae7ab158dfebe5cd5e3ca18f917445fa.png
gl1,Ecommerce Specialist / Ecommerce Supervisor,PT Distributor Gadget Indonesia,Shopee Ads,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"managed Shopee eCommerce platform, Berorientasi Pada Target, Target Oriented, Manage Shopee Seller Account, eCommerce, Familiar Tokopedia, Marketing, Marketing Management, Digital Campaign, Fast Respone, Tokopedia Ads, Digital Marketing, Online Marketing, Marketplace Administrator, Tokopedia, Data Analytics, Shopee Ads, Manage the Tokopedia, Online Advertising, Ecommerce, Menguasai Marketplace, Digital Strategy, Digital And Ecommerce, Network To Ecommerces, ecommerce planning, B2b Marketplace, Ecommerce Platfrom, Mengelola Marketplace, Shopee Ads Lead, Digital Advertising, Marketplace Knowledge, Ecommerce Management, Marketplace, Online Marketplace, Paham Marketplace, Tokopedia Advertisement, Marketing And Selling, Tokopedia Sales And Marketing, Shopee, Marketing Strategy, Marketing Campaign, Shopee Seller Central, Bisa Penjualan Online, Digital Marketing Shopee, Shopee Ads, Manage Digital Marketing Campaign, Manage marketplace ads, Online Marketing Campaign, Marketplace Strategy, Content Marketing, Admin Online Shop, Sales Marketing",SMA/SMK,"Mengelola Marketplace (Upload produk, Update Stock & Harga, dll), Membuat strategi agar toko di marketplace / E-Commerce (tokopedia, bukalapak, shopee, dsb) bisa mencapai target penjualan, Mengoptimalisasi iklan berbayar di e-commerce, Menjalankan jobdesc lain sesuai dengan ruang lingkup posisi",https://glints.com/id/opportunities/jobs/ecommerce-specialist-ecommerce-supervisor/2a224432-623d-4ed9-9bd4-2a8164db5c7d?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/5cec25e48f339e418ee19fc18a23c268.jpeg
gl2,Brain Development Teacher for kids,PT. Genius Kidz Indonesia,Basic Mathematics,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp4jt-Rp5jt,1 – 3 tahun,"Basic Mathematics, arithmetic skills, Abacus Skills, Mathematics",Sarjana (S1),,https://glints.com/id/opportunities/jobs/brain-development-teacher-for-kids/511092c0-3606-4a64-8847-fb528a1bf763?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/02993bf22d6ed4aa552a78839c63908a.png
gl3,Video DIRECTOR,Media Fakta Global,Project Management,"Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Lebih dari 10 tahun,"Manajemen Waktu, Creative Thinking, Project Management, Video Editor, Multimedia",Sarjana (S1),,https://glints.com/id/opportunities/jobs/video-director/b1a10118-3551-451c-ab0c-de42e7f2222b?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b13cc6938b38e709aee915773033da9f.jpg
gl4,Finance Accounting Supervisor & PA,PT Anugrah Intan Property Indonesia,Personal Assistant to Director,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Espt pph final 4 (2), Pph 23, Accurate Software, ESPT PPH 23, Laporan Keuangan, Neraca Keuangan, Pph 21, Personal Assistant to Director",Sarjana (S1),"Membangun 60 titik di seluruh kota2 besar penunjang ekonomi Indonesia, Memberikan service yang terbaik sehingga tenant bisa fokus untuk melakukan hal hal esensial untuk meningkatkan quality of living, Membangun infrastruktur digital berupa aplikasi untuk kemudahan dan kepraktisan para Tenant",https://glints.com/id/opportunities/jobs/finance-accounting-supervisor-and-pa/508194f6-44df-4084-bf42-a7242cd5530a?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/f749f175397e26bd72e82b20e5124584.jpeg
gl5,Video Editor dan Motion Grafic,Media Fakta Global,Kreatif Dan Inovatif,"Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,5 – 10 tahun,"Video Editing, Multitasking, Kreatif Dan Inovatif",Sarjana (S1),,https://glints.com/id/opportunities/jobs/video-editor-dan-motion-grafic/484343b8-8ca6-433a-92d5-151201c2bced?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b13cc6938b38e709aee915773033da9f.jpg
gl6,Art Director,Media Fakta Global,"Komunikatif, Kreatif, Inovatif","Pancoran, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp6,9jt-Rp8,9jt",5 – 10 tahun,"Siap bekerja dibawah tekanan, Komunikatif, Kreatif, Inovatif, Berpikir kritis",Sarjana (S1),,https://glints.com/id/opportunities/jobs/art-director/5e78afdd-ef6b-4ac1-8476-6339821da45f?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b13cc6938b38e709aee915773033da9f.jpg
gl7,Penerjemah Bahasa Mandarin,PT Realway Media Indonesia,Chinese HSK 5,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Rp8jt-Rp15jt,1 – 3 tahun,"Chinese HSK 5, Memiliki Kemampuan Komunikasi Yang Baik, Fluent In Mandarin",SMA/SMK,,https://glints.com/id/opportunities/jobs/penerjemah-bahasa-mandarin/3351dd5c-20a4-43a8-8081-db048a09f01b?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/302bdf7528dce71c7029920f4eb05a34.jpeg
gl8,Lowongan Kerja Video Editor untuk Studio Masak di Jakarta Pusat,Cairo Food,Video Production,"Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp4,5jt-Rp6jt",1 – 3 tahun,"Video Editor, Video Editing, Video Production",SMA/SMK,"Podcast, Cooking Video, Live Cooking",https://glints.com/id/opportunities/jobs/lowongan-kerja-video-editor-untuk-studio-masak-di-jakarta-pusat/573fe3e9-68a5-452b-8972-90c02f527f22?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/539d7c2188c7797ec9953b9ec5a42e58.jpg
gl9,Dokter Umum/Aesthetic,PT. Guobin International Indonesia,Mampu berkomunikasi dengan bahasa Indonesia maupun dengan bahsa Inggris dengan baik,"Medan Timur, Medan, Sumatera Utara, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Marketing, Mampu berkomunikasi dengan bahasa Indonesia maupun dengan bahsa Inggris dengan baik, Berkomunikasi Dengan Baik",Sarjana (S1),,https://glints.com/id/opportunities/jobs/dokter-umum-aesthetic/091152c5-c913-4bba-aae2-a845a7d1e15b?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/72c40cf5c3fff669387112c6ed165957.png
gl10,IT Infrastructure,PT Lumos Inisiatif Indonesia,Azure,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Azure, Linux, Alicloud, Docker, Kubernetes, Windows, Amazon Web Services (AWS), Cloud Computing",Diploma (D1 - D4),,https://glints.com/id/opportunities/jobs/it-infrastructure/c98be130-fa5a-4d23-a87f-d9d1ce466ce2?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/b84ff4a6b40117eeb5f99be522948598.jpg
gl11,Sales Executive,PT Istana Surya Perkasa,Sales and Marketing,"Sawahan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Sales and Marketing, B2b Sales, Retail Sales",SMA/SMK,"Laki- Laki, maksimal 38 tahun, Pendidikan minimal SMA/SMK/D1 (Teknik Mesin diutamakan), Pengalaman minimal 2 tahun di bidang yang sama, Kemampuan komunikasi dan negosiasi yang baik, Memahami penjualan mesin, sparepart dan dinami, Pengetahuan tentang administrasi sales  teknologi informasi diperlukan, Bersedia dinas luar kota dan pulau, Diutamakan menguasai wilayah Indonesia Barat ( JABAR, DKI, BANTEN, & SUMATERA), Penempatan Surabaya",https://glints.com/id/opportunities/jobs/sales-executive/f142a78e-98ce-4e61-b418-e00c746bd662?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/c384b4dc9a44c7d4c6f86355a3044fb3.jpg
gl12,IT Support,PT Istana Surya Perkasa,Jaringan Komputer,"Sawahan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,Kurang dari setahun,"Teknik Komputer Jaringan, IT Hardware Support, Jaringan Komputer, IT Support, Web Design, Computer And Networking",SMA/SMK,"Laki-Laki, Minimal SMK Teknik Komputer dan Jaringan, Fresh Graduate  are welcome, Memiliki pengalaman di bidang IT (merupakan nilai tambah), Menguasai Maintanance computer,networking (LAN - WLAN), repairing , troubelshooting soft dan hardware, Menguasai set-up network atau wireless device, Memahami hal-hal yang berhubungan dengan Domain, Website, Webdesign, Mampu bekerja dengan tim ataupun individu, Penempatan Surabaya",https://glints.com/id/opportunities/jobs/it-support/23f6a194-6196-40fe-b7fd-0a4d83078fad?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/c384b4dc9a44c7d4c6f86355a3044fb3.jpg
gl13,Sales Executive Bojonegoro,CV Lancar Jaya Abadi,Target Oriented,"Bojonegoro, Bojonegoro, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Target Oriented, Dapat Bekerja Individu Maupun Tim, Sales",SMA/SMK,"Pria/Wanita, usia maksimal 35 tahun, Pendidikan minimal SMA/SMK, Memiliki pengalaman dibidang sales dan berorientasi pada target, Mampu bekerja secara tim/individu, Berpenampilan menarik, Memiliki kendaraan dan SIM",https://glints.com/id/opportunities/jobs/sales-executive-bojonegoro/ef115c4e-a8d8-4ae3-a0bf-7e845ca7fdab?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/8e4c6af005c33a05a08cd3f6e071c00a.jpeg
gl14,Sales Executive Tuban,CV Lancar Jaya Abadi,Target Oriented,"Tuban, Tuban, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"Target Oriented, Dapat Bekerja Individu Maupun Tim, Sales",SMA/SMK,"Pria/Wanita, usia maksimal 35 tahun, Pendidikan minimal SMA/SMK, Memiliki pengalaman dibidang sales dan berorientasi pada target, Mampu bekerja secara tim/individu, Berpenampilan menarik, Memiliki kendaraan dan SIM",https://glints.com/id/opportunities/jobs/sales-executive-tuban/1358fc80-b10e-4c92-8832-ccb8b2163628?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/8e4c6af005c33a05a08cd3f6e071c00a.jpeg
