id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
gl0,Developer (Power BI),Pt Dua Empat Tujuh,Power BI,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Tidak ditampilkan,3 – 5 tahun,"PL/SQL, Hadoop, Power BI",Sarjana (S1),"Mampu melakukan pemrogramman sesuai dengan spec dan target yang diberikan analyst, Menguasai basic knowledge (sql query, pl/sql, Hadoop, Java, shell script), Mempunyai inisiatif untuk mengembangkan kemampuan pemrograman, Memberikan arahan teknis dan konsultasi kepada developer, Dapat melakukan riset untuk teknologi baru dan menuliskan hasilnya didalam dokumen, Memberikan saran/usulan/analisa terhadap design System Analyst, Mempunyai kemampuan untuk melakukan riset teknologi/logic/hal baru dalam pemrograman, Mendampingi tim QC pada saat UAT atau Testing Management (Sesuai kebutuhan dilapangan)., Mampu bekerja dalam tim dengan Manajer Proyek dan tim lainnya.",https://glints.com/id/opportunities/jobs/developer-power-bi/47ed0168-2bc2-4dd2-8e7e-563055016fa5?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/87b896a23a3706f3b0cc9dd45c9aae2c.jpg
gl1,Ecommerce Specialist / Ecommerce Supervisor,PT Distributor Gadget Indonesia,Shopee Ads,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,1 – 3 tahun,"managed Shopee eCommerce platform, Berorientasi Pada Target, Target Oriented, Manage Shopee Seller Account, eCommerce, Familiar Tokopedia, Marketing, Marketing Management, Digital Campaign, Fast Respone, Tokopedia Ads, Digital Marketing, Online Marketing, Marketplace Administrator, Tokopedia, Data Analytics, Shopee Ads, Manage the Tokopedia, Online Advertising, Ecommerce, Menguasai Marketplace, Digital Strategy, Digital And Ecommerce, Network To Ecommerces, ecommerce planning, B2b Marketplace, Ecommerce Platfrom, Mengelola Marketplace, Shopee Ads Lead, Digital Advertising, Marketplace Knowledge, Ecommerce Management, Marketplace, Online Marketplace, Paham Marketplace, Tokopedia Advertisement, Marketing And Selling, Tokopedia Sales And Marketing, Shopee, Marketing Strategy, Marketing Campaign, Shopee Seller Central, Bisa Penjualan Online, Digital Marketing Shopee, Shopee Ads, Manage Digital Marketing Campaign, Manage marketplace ads, Online Marketing Campaign, Marketplace Strategy, Content Marketing, Admin Online Shop, Sales Marketing",Diploma (D1 - D4),"Mengelola Marketplace (Upload produk, Update Stock & Harga, dll), Membuat strategi agar toko di marketplace / E-Commerce (tokopedia, bukalapak, shopee, dsb) bisa mencapai target penjualan, Mengoptimalisasi iklan berbayar di e-commerce, Menjalankan jobdesc lain sesuai dengan ruang lingkup posisi",https://glints.com/id/opportunities/jobs/ecommerce-specialist-ecommerce-supervisor/2a224432-623d-4ed9-9bd4-2a8164db5c7d?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/5cec25e48f339e418ee19fc18a23c268.jpeg
gl2,Content Creator,Elope Official,Kreatif Dan Inovatif,"Lakarsantri, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp3jt-Rp5jt,1 – 3 tahun,"Teamwork, Content Creator, Content Creation, Berpengalaman 1 Tahun, Berkomunikasi Dengan Baik, Good Attitude, Kreatif Dan Inovatif",SMA/SMK,,https://glints.com/id/opportunities/jobs/content-creator/cb4a6aa2-0166-46e4-abf5-f8fa9d9e521a?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/22f086e39ad2cb0b125dbbd71afec37e.jpg
gl3,HOST LIVESTREAMING (INTERNSHIP / MAGANG),PT. OAKM TECH INDONESIA,Marketing,"Cikarang Selatan, Bekasi, Jawa Barat, Indonesia",Magang,Tidak ditampilkan,Rp3jt-Rp4jt,Kurang dari setahun,"Marketing, Public Speaking, Bahasa Inggris",SMA/SMK,"Menghadirkan siaran langsung yang menarik dan menghibur kepada audiens., Berinteraksi secara aktif dengan audiens melalui chat dan komentar., Menyampaikan konten dengan jelas dan memikat menggunakan kemampuan berbicara yang baik., Memahami tren dan topik yang sedang populer untuk menarik minat audiens., Memastikan kelancaran teknis selama siaran langsung., Mempromosikan dan memperkenalkan produk atau layanan perusahaan kepada audiens.",https://glints.com/id/opportunities/jobs/host-livestreaming-internship-magang/648865e7-85b7-49c1-8dce-c2fc61400947?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/0b2fc6b5f23f05ff1c97a0c085fcaf70.jpg
gl4,Sr Angular Developer,PT. Bank Multiarta Sentosa Tbk. (Bank MAS),Typescript,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Tidak ditampilkan,5 – 10 tahun,"Microfrontend, Html / Css / Bootstrap, Typescript, Communication, Angular",Sarjana (S1),"Frontend Mastery: Leverage your expertise to develop and maintain efficient and user-friendly frontend applications using Angular and TypeScript., Micro Frontend Knowledge: Apply your in-depth knowledge of micro frontend concepts to contribute to the development of modular and scalable applications., Leadership (Lead Developers): Take the lead on projects and guide teams to deliver exceptional results. Mentor junior developers and steer project success, Collaboration: Work closely with cross-functional teams to ensure seamless integration of frontend solutions and support innovation in the rapidly evolving banking industry.",https://glints.com/id/opportunities/jobs/sr-angular-developer/ec908b80-d3e1-4548-9e3a-764ec549bf23?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/3ed027ff88460b37b3afa6c92876c0c5.jpg
gl5,Ads Specialist,Deepublish Group,Google Ads,"Kapanewon Ngaglik, Sleman, DI Yogyakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,"Rp2,5jt-Rp3jt",1 – 3 tahun,"Facebook Ads Manager, Instagram Ads, Facebook Ads, Google Ads",Diploma (D1 - D4),"Minimal lulusan D3/S1 semua jurusan., Lebih disukai apabila berpengalaman di bidang SEM lebih dari 2 tahun, Memahami optimasi sosial media mampu bekerja dengan target dan tekanan, Mampu bekerja dibawah tekanan, Penempatan: Yogyakarta",https://glints.com/id/opportunities/jobs/ads-specialist/72911814-0b27-420f-99dd-41cd3c14d6fd?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/c1a289cb9e2e0eba9f6f9715d7e39091.png
gl6,Lowongan Junior Java Programmer,PT Nextgen Inovasi Indonesia,Java Programming,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Rp5jt-Rp7jt,1 – 3 tahun,"Hibernate & Jpa, Spring Framework, Spring Boot, Database, Java Programming",Diploma (D1 - D4),"S1 atau D3 jurusan yang ada hubungan dengan IT, Harus mempunyai pengalaman minimal 1 tahun dalam proyek pemrograman Java, Diutamakan yang mempunyai pengalaman menggunakan framework Hibernate, Java Spring, Spring Boot dan JPA, Mempunyai pengalaman membuat REST API dengan format data JSON, Mempunyai keahlian database dan menggunakan perintah SQL",https://glints.com/id/opportunities/jobs/lowongan-junior-java-programmer/b1875fde-5dbf-4605-98ef-bb67bba33baa?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/a795596d828c5972409d174c24929e5f.jpg
gl7,Lowongan Junior React JS Programmer,PT Nextgen Inovasi Indonesia,ReactJS,"Setiabudi, Jakarta Selatan, DKI Jakarta, Indonesia",Kontrak,Tidak ditampilkan,Rp4jt-Rp6jt,1 – 3 tahun,"JavaScript, ReactJS, Mysql Database, Rest Api & Json, SQL, Html / Css / Bootstrap",Diploma (D1 - D4),"Menguasai HTML, CSS, Ajax, Javascript dan framework React.js, Mampu mengelola data JSON, API dan Web Service, Mampu dan terbiasa menggunakan GIT (Version Control System), Memiliki pengalaman minimal 1 tahun dalam menggunakan React JS, Memiliki pemahaman logika yang kuat dan pemecahan masalah dengan baik, Dapat bekerja secara mandiri maupun berkolaborasi dengan tim, Memiliki sikap dan etos kerja yang baik dan dapat berkomunikasi dengan baik, responsif dan solutif",https://glints.com/id/opportunities/jobs/lowongan-junior-react-js-programmer/804efa8c-2375-43b7-a93b-d17da22822a9?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/a795596d828c5972409d174c24929e5f.jpg
gl8,Baritsa (Overseas Placement -Kuwait),Hiringmaps,managerial Cafe & Resto,"Jatinegara, Jakarta Timur, DKI Jakarta, Indonesia",Penuh Waktu,Tidak ditampilkan,Rp10jt-Rp12jt,3 – 5 tahun,"Latte Art, Barista, managerial Cafe & Resto",SMP,"Welcoming customers, informing them about specials or new items, answering questions, and accepting orders and payments., Preparing foods, such as sandwiches or baked goods, and grinding and blending coffee beans, brewing coffee and tea, and serving items to customers., Packaging food and beverages for sale., Selling coffee and tea blends and brewing equipment, highlighting the differences between items, and educating customers about brewing methods., Cleaning and restocking work and dining areas, emptying trash and sanitizing equipment and utensils., Learning about brewing methods, beverage blends, food preparation, and presentation techniques to improve food quality., Updating signage and displays to attract customers., Taking inventory and replenishing items in display cases, at tables, or behind the counter., Working as part of a fun, high-energy team., Adhering to all food safety regulations and quality controls.",https://glints.com/id/opportunities/jobs/baritsa-overseas-placement-kuwait/2cd429a1-e9ea-48a0-8e24-1861e2d755bb?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/8216d9b06c47ef62b544827d30b1c6ca.png
gl9,Guru Piano,Pratama Music School,ABRSM > ABRSM Music,"Kembangan, Jakarta Barat, DKI Jakarta, Indonesia",Paruh Waktu,Tidak ditampilkan,Rp5jt-Rp5jt,Kurang dari setahun,"ABRSM > ABRSM Music, Berpengalaman mengajar, Seni Musik",Sarjana (S1),"Wanita berusia 22 tahun ke atas, S1 di bidangnya / sertifikat ABRSM / Rockschool / setara, Memiliki pengalaman mengajar di bidang musik, Tepat waktu, berpakaian rapi, dan bertanggung jawab",https://glints.com/id/opportunities/jobs/guru-piano/1d5f1905-20f1-4ec6-ac38-88f3cf513fdc?utm_referrer=explore,https://images.glints.com/unsafe/glints-dashboard.s3.amazonaws.com/company-logo/87f0abf9d04c4a8c7a487490239e5809.png
