Company,Job_title,Location,Salary,Work Type,Skill,Job_Desc,Links
Braja Biru Abadi,Perawat,"Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Dapat Berkomunikasi Secara Baik, Berorientasi Pelayanan, Medical Nursing, ramah dan sopan, D3 Keperawatan","Wanita, usia min. 23 tahun, Pendidikan D3 Keperawatan / Profesi Nurse, Memiliki STR dan KTA/NIRA, Berorientasi pada pelayanan, Bersedia ditempatkan di Menteng, Jakarta Pusat",https://glints.com/id/opportunities/jobs/perawat/79369e7c-1273-410c-b7b4-6b64d310f999?utm_referrer=explore
Yanoshi Omiyage,Sales Sosial Media,"Bekasi Selatan, Bekasi, Jawa Barat, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,"Mengelola aktifitas penjualan di platform media sosial (Instagram, Facebook, TikTok) dan e-commerce (Shopee, Tokopedia) untuk produk souvenir khas Jepang, Menangani pemesanan, pembayaran, dan pengiriman barang dengan efisien., Mengelola administrasi penjualan dan menyusun penjualan secara berkala., Membantu Merancang dan mengimplementasikan strategi pemasaran di media sosial",https://glints.com/id/opportunities/jobs/sales-sosial-media/57e869e1-62aa-4731-b0ec-8b986213ac79?utm_referrer=explore
MII CMT Indonesia,Fashion Designer,"Karawaci, Tangerang, Banten, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Trend Forecasting, Pattern Making, Fashion Styling","Memiliki pengalaman sebagai Fashion Designer perusahaan garment, khususnya di garment ready to wear, mengerti alur proses produksi lebih disukai., Mampu mengoperasikan program komputer design seperti coreldraw, photoshop atau illustrator, bisa menggambar menggunakan pad / digital drawing., Update dengan trend lokal dan international dan mengerti cara mengaplikasikannya ke dalam produk., Terlibat dalam proses pembuatan prototipe, fitting sample, dan memastikan product ready to produce, Melakukan pre-costing, Memperhatikan detail dan kualitas, pastikan produk jadi memenuhi standar perusahaan, Mengerti basic jahit dan pembuatan pola pakaian akan diutamakan",https://glints.com/id/opportunities/jobs/fashion-designer/ec2194be-7f91-4d43-ab5f-2ca4c4b920e7?utm_referrer=explore
Indonesia Global Solusindo,RPA Software Developer (UIPATH),"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,,,https://glints.com/id/opportunities/jobs/rpa-software-developer-uipath/02e00d3f-9354-44ae-ab83-c14924ef3419?utm_referrer=explore
PT Aventama Hervent Solusindo,SEO Specialist,"Lengkong, Bandung, Jawa Barat, Indonesia","Rp2,5jt-Rp4jt",Penuh Waktu,"Search Engine Optimization (SEO), Seo/sem, SEO, Seo Basic, Seo On Page, Seo And Web Analytics, Seo Writing, Seo Content Writing",,https://glints.com/id/opportunities/jobs/seo-specialist/cc68fdc7-cdd8-443b-829e-333dd37391d0?utm_referrer=explore
Financia Golden Trade,Staff Telemarketing,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia","Rp2,5jt-Rp10jt",Kontrak,"Komputer Ms Office, Customer Relationship Management (CRM), Memiliki Kemampuan Komunikasi Yang Baik, Sales and Marketing, Telemarketing, Mengoprasikan Komputer","Memperkenalkan produk dan kelebihannya secara online kepada konsumen, Mencapai dengan target yang telah ditentukan, Memperluas jaringan konsumen dan pasar, Menjalin hubungan baik dengan customer, Membantu dalam memberikan layanan dan mempertahankan pelanggan",https://glints.com/id/opportunities/jobs/staff-telemarketing/8c8d68d1-c5a2-454d-973e-0bebf024e26d?utm_referrer=explore
Ikonsultan Inovatama,Java Software Engineer,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Rp10jt-Rp25jt,Kontrak,"Apache Kafka, Eureka, Spring Framework, Kubernetes & Docker, Microservice Architecture, DevOps, Ci/cd","Proficiency in Java programming., Strong knowledge of the Spring Framework, particularly Spring Boot for building microservices., Understand the principles and best practices of microservices architecture., Experience in designing and developing microservices., Be adept at creating RESTful APIs using Spring Boot., Familiarity with containerization technologies like Docker., Experience with container orchestration platforms such as Kubernetes., Knowledge of various database systems, both relational and NoSQL., Expertise in data modeling for microservices., Understanding of API gateways, Familiarity with service discovery tools like Eureka or Consul., Experience with message brokers like Apache Kafka or RabbitMQ., Knowledge of event-driven architecture patterns., Proficiency in securing microservices, including authentication and authorization., Knowledge of OAuth, JWT, and SSL/TLS., Experience with Continuous Integration and Continuous Deployment (CI/CD) pipelines., Familiarity with tools like Jenkins, Travis CI, or GitLab CI/CD., Unit testing, integration testing, and end-to-end testing using tools like JUnit and Postman., Basic knowledge of DevOps practices, including infrastructure as code (IaC)., Understanding of cloud platforms like AWS, Azure, or Google Cloud., Proficiency with monitoring tools like Prometheus, Grafana, or ELK stack (Elasticsearch, Logstash, Kibana)., Experience in application performance monitoring., Strong documentation skills for maintaining code and system documentation., Familiarity with version control systems like Git., Strong problem-solving skills., Good communication and collaboration skills for working in a team., An understanding of agile methodologies., Depending on the industry you work in, domain-specific knowledge can be crucial. For example, financial services, healthcare, e-commerce, etc., Knowledge of techniques for optimizing the performance and scalability of microservices., Implementing mechanisms to make microservices fault-tolerant and resilient., Keeping up-to-date with security best practices to protect microservices against vulnerabilities., The field of microservices is constantly evolving. A willingness to learn and adapt to new technologies and best practices is crucial.",https://glints.com/id/opportunities/jobs/java-software-engineer/57435a79-8b8f-4ea4-bad6-9a172578fb82?utm_referrer=explore
PT Istana Surya Perkasa,Sales Executive,"Sawahan, Surabaya, Jawa Timur, Indonesia",Perusahaan tidak menampilkan gaji,Penuh Waktu,"Sales and Marketing, B2b Sales, Retail Sales","Laki- Laki, maksimal 38 tahun, Pendidikan minimal SMA/SMK/D1 (Teknik Mesin diutamakan), Pengalaman minimal 2 tahun di bidang yang sama, Kemampuan komunikasi dan negosiasi yang baik, Memahami penjualan mesin, sparepart dan dinami, Pengetahuan tentang administrasi sales  teknologi informasi diperlukan, Bersedia dinas luar kota dan pulau, Diutamakan menguasai wilayah Indonesia Barat ( JABAR, DKI, BANTEN, & SUMATERA), Penempatan Surabaya",https://glints.com/id/opportunities/jobs/sales-executive/f142a78e-98ce-4e61-b418-e00c746bd662?utm_referrer=explore
Cuts and Beyond,Hair Stylist/Salon,"Cisauk, Kab. Tangerang, Banten, Indonesia","Rp2,8jt",Penuh Waktu,"Hair Styling, Hair Cutting, Salon Assistant",,https://glints.com/id/opportunities/jobs/hair-stylist-salon/a042b65f-027d-4687-bd78-43ccc2089404?utm_referrer=explore
Oakberry Indonesia,Açaí Bowl Maker and Customer Service,"Kuta, Kab. Badung, Bali, Indonesia","Rp3,5jt-Rp4,5jt",Penuh Waktu,"Customer Service, Barista And Waiters, Kitchen helper, Hospitality, Hospitality and Service, Food and Beverage, Food Preparation",,https://glints.com/id/opportunities/jobs/acai-bowl-maker-and-customer-service/61155f10-a046-4362-8764-835dc64c5171?utm_referrer=explore
Sumberdaya Andalan Mandiri,Sales Generalis Bank BUMN,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia","Rp4,5jt-Rp5jt",Penuh Waktu,,"Pria/Wanita, Usia Maksimal 33 tahun, Pendidikan minimal D3, Berpengalaman di Bidang Sales/Marketing, Mempunyai kendaraan bermotor dan SIM, Berperilaku dan penampilan baik serta berdomisili di Jabodetabek",https://glints.com/id/opportunities/jobs/sales-generalis-bank-bumn/80225828-9d7b-4bf4-880c-ecdab3000b64?utm_referrer=explore
PT. Eversaas Power Technology,Presales System Engineer,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Rp6jt-Rp10jt,Penuh Waktu,,"Pria Usia min. 25 tahun, Pendidikan min. D3 / S1 Jurusan Telekomunikasi atau Komputer, Pengalaman minimal 2 tahun sebagai sales IT, Komputer, Internet, telekomunikasi dan sejenisnya, (Diutamakan yang pernah bekerja di bidang ISP / ERP/ SOFTWARE/ security), Jujur, pekerja keras dan dapat bekerja sama dengan Team, Fasih dalam menggunakan Ms Office dan bidang IT, Memiliki kendaraan bermotor, Lokasi Penempatan di Jakarta Barat",https://glints.com/id/opportunities/jobs/presales-system-engineer/782b0292-4a8b-4eab-81a3-435c13cd85b4?utm_referrer=explore
Sasmita Property,Sales Executive Property,"Bogor Barat, Bogor, Jawa Barat, Indonesia","Rp3jt-Rp4,5jt",Kontrak,"Marketing Promotion, Customer Service, Marketing, Sales Management, Sales, Sales Marketing",,https://glints.com/id/opportunities/jobs/sales-executive-property/3ee9d842-c525-4b72-b314-45c3b5163247?utm_referrer=explore
Klinik Utama Skinnaire,Front Liner Klinik Utama (Kulit & Kelamin),"Sumur Bandung, Bandung, Jawa Barat, Indonesia","Rp3jt-Rp4,2jt",Penuh Waktu,"Problem Solving And Time Management, Memiliki Kemampuan Komunikasi Yang Baik, Mampu Bekerja Keras Dan Jujur Serta Cepat Mampu Menyesuaikan Dan, Dapat bekerja dengan tim dan dapat mengoperasikan Ms. Office","Melayani kepentingan pasien sesuai dengan prosedur operational, Melakukan dan bertanggung jawab atas penjadwalan kunjungan pasien, Melayani pendaftaran dan kebutuhan administrasi pasien baru, Memberikan informasi kepada pasien terkait promo treatment yang berlaku, Melayani transaksi pembayaran tunai, non tunai (QR, EDC), Mampu menghandle complain pasien, Menyelesaikan tugas administrasi klinik, Menghasilkan laporan keuangan harian dan melakukan rekonsiliasi kas",https://glints.com/id/opportunities/jobs/front-liner-klinik-utama-kulit-and-kelamin/f9694e97-1921-41cf-9c23-907a46660076?utm_referrer=explore
PT TANAH AIR RAYA,Staff Customer Service,"Pabean Cantikan, Surabaya, Jawa Timur, Indonesia","Rp3,5jt-Rp5,3jt",Penuh Waktu,"Analisa Proses Bisnis, Public Speaking, Microsoft Office","Menangani pertanyaan pelanggan melalui telepon, email, atau media sosial dengan sopan dan profesional., Menyelesaikan masalah pelanggan dengan cepat dan efisien., Memberikan informasi produk, layanan, dan kebijakan perusahaan kepada pelanggan., Membangun hubungan yang baik dengan pelanggan dan meningkatkan kepuasan pelanggan., Melakukan tugas administratif terkait layanan pelanggan., Memberikan umpan balik dan saran kepada manajemen untuk perbaikan layanan pelanggan.",https://glints.com/id/opportunities/jobs/staff-customer-service/0ebc9216-5d13-44c2-8df2-a9511357ccb7?utm_referrer=explore
PT TANAH AIR RAYA,Community Manager,"Pabean Cantikan, Surabaya, Jawa Timur, Indonesia","Rp4jt-Rp5,7jt",Penuh Waktu,,,https://glints.com/id/opportunities/jobs/community-manager/95cb57fa-aef4-46ee-98e3-8b7aad97e437?utm_referrer=explore
