Company,Job_title,Location,Salary,Work Type,Descriptions,Links
PT Karya Bintang Mandiri,Admin Produksi & Bahan Baku,Sidoarjo,"IDR 4,600,000 - IDR 6,000,000",Kontrak,"LOWONGAN KERJA ADMIN OPERATOR & BAHAN BAKU, Pendidikan terakhir SMK/D3/S1Menguasai Microsoft Office & SAPDetail, analitik, berorientasi pada target, komunikatif, kepemimpinan yang kuat & mudah beradaptasiTerbiasa berbahasa mandarin lisan & tulis, Pendidikan terakhir SMK/D3/S1, Menguasai Microsoft Office & SAP, Detail, analitik, berorientasi pada target, komunikatif, kepemimpinan yang kuat & mudah beradaptasi, Terbiasa berbahasa mandarin lisan & tulis, Segera daftarkan diri anda sekarang juga!, ",https://www.jobstreet.co.id/id/job/admin-produksi-bahan-baku-4518955?jobId=jobstreet-id-job-4518955&sectionRank=1&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Artemi Zenith International,ADMIN STAFF (SURABAYA / TANGERANG),Surabaya,,Penuh Waktu,"Are you aPASSIONATEandTRUSTWORTHEDperson?, PASSIONATE, TRUSTWORTHED, Looking forTEAM LEADER OPPORTUNITIES?, TEAM LEADER OPPORTUNITIES, Willing toGROWin aCHALLENGINGworking space?, GROW, CHALLENGING, COME AND JOIN US!, COME AND JOIN US!, Let's Create a Better Living Space withArtemiFamily, Artemi, BENEFIT :, Annual leaveAttendance incentive (T&C)THROvertime feeCompany laptop (Administration Division)TrainingAnnual championship (T&C), Annual leave, Attendance incentive (T&C), THR, Overtime fee, Company laptop (Administration Division), Training, Annual championship (T&C), Kualifikasi :, Kualifikasi :, Usia maksimal 30Pendidikan minimal S1Menguasai Ms. Office terutama excelDiutamakan yang mengerti dasar akuntansiDiutamakan yang pernah menggunakan software akuntansi atau integrated softwareDiutamakan yang mengerti bahasa mandarin basic dan inggris basic minimal pasifMampu bekerja dibawah tekananJujur, kepribadian menyenangkan, teliti, detail, rapi, dapat berkomunikasi dengan baik, berpikir kritis, dan bertanggung jawabBerintegritas, jujur, tanggap, cekatan, loyal, berdedikasi tinggiDisiplinPenempatan di Surabaya / Jakarta, Usia maksimal 30, Pendidikan minimal S1, Menguasai Ms. Office terutama excel, Diutamakan yang mengerti dasar akuntansi, Diutamakan yang pernah menggunakan software akuntansi atau integrated software, Diutamakan yang mengerti bahasa mandarin basic dan inggris basic minimal pasif, Mampu bekerja dibawah tekanan, Jujur, kepribadian menyenangkan, teliti, detail, rapi, dapat berkomunikasi dengan baik, berpikir kritis, dan bertanggung jawab, Berintegritas, jujur, tanggap, cekatan, loyal, berdedikasi tinggi, Disiplin, Penempatan di Surabaya / Jakarta, Penempatan di Surabaya / Jakarta, Deskripsi Pekerjaan:, Deskripsi Pekerjaan:, Menginput data invemtory perusahaanMembuat report yang diperlukan oleh perusahaanMenginput data transaksi petty cash perusahaanMengarsip dan merapikan segala data administratif perusahaanMembuat dan mengarsip kontrak kerja dan dokumen administratif perusahaanMenginput buku kas masuk dan buku kas keluar untuk petty cash serta menginput bukti bank masuk dan keluarMengarsip nota dan mencocokkan dengan BKK dan BKM yang dibuatMenginput data customer dan supplierMenginput data karyawanMerekap absensi, cuti dan ijin karyawanMenginformasikan tagihan yang telah jatuh tempoHandle laporan dari sales team dan report ke atasanMembuat PO dan purchase reportHandle semua keperluan rumah tangga kantor dan segala tugas yang berhubungan dengan kegiatan administrasi perusahaan.Mengarsip data dan dokumen perusahaan baik hardcopy maupun softcopy., Menginput data invemtory perusahaan, Membuat report yang diperlukan oleh perusahaan, Menginput data transaksi petty cash perusahaan, Mengarsip dan merapikan segala data administratif perusahaan, Membuat dan mengarsip kontrak kerja dan dokumen administratif perusahaan, Menginput buku kas masuk dan buku kas keluar untuk petty cash serta menginput bukti bank masuk dan keluar, Mengarsip nota dan mencocokkan dengan BKK dan BKM yang dibuat, Menginput data customer dan supplier, Menginput data karyawan, Merekap absensi, cuti dan ijin karyawan, Menginformasikan tagihan yang telah jatuh tempo, Handle laporan dari sales team dan report ke atasan, Membuat PO dan purchase report, Handle semua keperluan rumah tangga kantor dan segala tugas yang berhubungan dengan kegiatan administrasi perusahaan., Mengarsip data dan dokumen perusahaan baik hardcopy maupun softcopy., ",https://www.jobstreet.co.id/id/job/admin-staff-surabaya-tangerang-4518834?jobId=jobstreet-id-job-4518834&sectionRank=2&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Prima Audio Indonesia,Staff Administrasi,Jakarta Raya,,Penuh Waktu,"Deskripsi Pekerjaan :, Deskripsi Pekerjaan :, Membuat invoice setiap bulannya sesuai dengan permintaan salesMenguasai atau pernah memakai aplikasi accounting di utamakan AccurateClosing Invoice setiap bulan, Membuat invoice setiap bulannya sesuai dengan permintaan sales, Menguasai atau pernah memakai aplikasi accounting di utamakan Accurate, Closing Invoice setiap bulan, Kualifikasi:, Kualifikasi:, Minimal SMK/sederajatMinimal 1 tahun pengalaman dibidang terkaitBisa menggunakan Komputer dan Ms. OfficeJujur, cekatan, teliti,Bersedia ditempatkan di PIK 2, Minimal SMK/sederajat, Minimal 1 tahun pengalaman dibidang terkait, Bisa menggunakan Komputer dan Ms. Office, Jujur, cekatan, teliti,, Bersedia ditempatkan di PIK 2, ",https://www.jobstreet.co.id/id/job/staff-administrasi-4518085?jobId=jobstreet-id-job-4518085&sectionRank=3&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Borneo Mandiri Investment,General Admin,Tangerang,,Penuh Waktu,"TANGGUNG JAWAB:, 1) Menangani semua inquiry dari Manager PT Borneo Mandiri Investment terutama hal administratif, 2) Menyiapkan dokumen, mengetik, mengirim email, membuat telepon sesuai dengan deadlinenya., 3) Melakukan tugas administrasi (termasuk pendistribusian/pengumpulan/pengisian dokumen), 4) Perbarui & kompilasi laporan bulanan, 5) Diutamakan memiliki skill penunjang operasional seperti IT dll (mohon disebutkan skill penunjang yang dimiliki), 6) Diutamakan mempunyai pengalaman di bidang HRD dan General Affair, KUALIFIKASI:, 1) Bersedia ditempatkan di Cipondoh dan atau Kembangan., 2) Bersedia untuk lembur dan bekerja di bawah tekanan., 3) Memiliki pengalaman kerja minimal 2 tahun dalam bidang administrasi., 4) Bersedia untuk multitasking dan terbuka untuk mempelajari hal-hal baru., 5) Menguasai Ms Office (Word, Excel)., 6) Bahasa Inggris minimal pasif., 7) Bukan untuk kandidat yang menyukai comfort zone, harus bersedia menerima tantangan baru dalam pekerjaan., 8) Memiliki attitude dan absensi yang baik., 9)Tida memilih-milih pekerjaan, 10) Loyalitas, ",https://www.jobstreet.co.id/id/job/general-admin-4518760?jobId=jobstreet-id-job-4518760&sectionRank=4&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Gunung Sagara Buana,Admin Warehouse,Bekasi,"IDR 3,000,000 - IDR 4,500,000",Penuh Waktu,"1. Managing, evaluating and reporting on warehouse productivity, 2. Monitoring stock, order progress and delivery status, 3. Tracking and coordinating the receipt, storage and timely delivery of goods., 4. Checking orders, bills, item received, inventory and deliveries for accuracy, 5. Maintaining records, reporting relevant information and preparing any necessary documentation, 6. Making daily and monthly reports of raw material and finished goods, 7. Responsible for all activities in the warehouse and loading process, Requirement, 1. Bachelor’s degree in any major, 2. Good leadership and teamwork mentality, 3. Good communication skill, 4. Experience 2 years as warehouse staff, 5. Having high understanding in warehouse management, 6. Age 22-30 years old, ",https://www.jobstreet.co.id/id/job/admin-warehouse-4518494?jobId=jobstreet-id-job-4518494&sectionRank=5&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Damai Abadi,Accounting Admin Staff,Medan,,Penuh Waktu,"· Checking and verify sales document before input to system, · Monitoring account receivable (AR) files and records, · Maintaining the billing system, invoicing dan ensure all timeline is on track., · Generating invoices and account statements, · Making monthly financial and management reports, · Responsible for control credit limit and monitoring insurance, Requirements:, Requirements:, a.   Bachelor Degree in Accounting, Finance, Economics or related subject, b.   Have a minimum 3 years of experience as Accounting / Finance / Account Receivable / Tax staff., c.    Advance in Ms. Excel and can operate SAP Systems, d.   Taxation skill will be advantage, e.   Easy adaptable, fast learner and have good communication skill, f.     A keen eye for detail, g.   Have ability to work independently, multi-tasking and eager to get the job done before closing date., ",https://www.jobstreet.co.id/id/job/accounting-admin-staff-4518383?jobId=jobstreet-id-job-4518383&sectionRank=6&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT MUMUSO TRADING INDONESIA,IT Staff,Jakarta Utara,,Penuh Waktu,"Deskripsi Pekerjaan :, Deskripsi Pekerjaan :, Memastikan perawatan dan monitoring terhadap setiap perangkat komputer yang digunakan berfungsi dengan baik.Melakukan monitoring terhadap komputer yang terhubung ke jaringan internet/intranet agar terhubung dengan baik.Melakukan perawatan terhadap sistem Hasmicro dan CCTV agar selalu berjalan dengan baik.Melakukan perawatan (update) aplikasi/software secara rutin agar bisa berjalan dengan baik.Memastikan backup data secara rutin untuk mengantisipasi hal-hal yang tidak diinginkan.Monitoring proteksi dan pengamanan terhadap setiap perangkat komputer agar tidak terkena virus/malware. Juga menjaga pengamanan data yang ada di perangkat komputer agar tidak dapat dibaca atau diambil oleh orang lain.Memastikan kerja perangkat pendukung seperti printer/scanner/dll bisa bekerja dengan baik dan melakukan perbaikan jika ada masalah pada perangkat komputer., Memastikan perawatan dan monitoring terhadap setiap perangkat komputer yang digunakan berfungsi dengan baik., Melakukan monitoring terhadap komputer yang terhubung ke jaringan internet/intranet agar terhubung dengan baik., Melakukan perawatan terhadap sistem Hasmicro dan CCTV agar selalu berjalan dengan baik., Melakukan perawatan terhadap sistem Hasmicro dan CCTV agar selalu berjalan dengan baik., Melakukan perawatan (update) aplikasi/software secara rutin agar bisa berjalan dengan baik., Memastikan backup data secara rutin untuk mengantisipasi hal-hal yang tidak diinginkan., Monitoring proteksi dan pengamanan terhadap setiap perangkat komputer agar tidak terkena virus/malware. Juga menjaga pengamanan data yang ada di perangkat komputer agar tidak dapat dibaca atau diambil oleh orang lain., Memastikan kerja perangkat pendukung seperti printer/scanner/dll bisa bekerja dengan baik dan melakukan perbaikan jika ada masalah pada perangkat komputer., Kualifikasi :, Kualifikasi :, Pengalaman Minimal 3 tahun dibilang yang sama.Min D3 Teknik Komputer/Informatika.Memiliki pemahaman dan keterampilan dalam hal instalasi sofware komputer dan merakit komputer.Memiliki pengalaman program Hasmicro dan CCTV.Memiliki keterampilan dalam hal troubleshoot perangkat komputer baik hardware maupun software dan Mikrotik.Mempunyai pemahaman pengoperasian perangkat pendukung seperti printer, scanner, mesin cetak dllMenguasai perkembangan teknologi yang up to date seperti cloud dan teknologi pengamanan serangan dari virus, phising, malware dan ransomware.Menguasai OS Windows, Linux dan Mac OS.Menguasai Setting email dan VPN di Mobile device dan LaptopPaham dengan baik Jaringan dan Hardware.Bersedia melakukan perjalanan dinas ke seluruh store MUMUSO., Pengalaman Minimal 3 tahun dibilang yang sama., Min D3 Teknik Komputer/Informatika., Memiliki pemahaman dan keterampilan dalam hal instalasi sofware komputer dan merakit komputer., Memiliki pengalaman program Hasmicro dan CCTV., Memiliki keterampilan dalam hal troubleshoot perangkat komputer baik hardware maupun software dan Mikrotik., Mempunyai pemahaman pengoperasian perangkat pendukung seperti printer, scanner, mesin cetak dll, Menguasai perkembangan teknologi yang up to date seperti cloud dan teknologi pengamanan serangan dari virus, phising, malware dan ransomware., Menguasai OS Windows, Linux dan Mac OS., Menguasai Setting email dan VPN di Mobile device dan Laptop, Paham dengan baik Jaringan dan Hardware., Bersedia melakukan perjalanan dinas ke seluruh store MUMUSO., ",https://www.jobstreet.co.id/id/job/it-staff-4519006?jobId=jobstreet-id-job-4519006&sectionRank=7&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT MHE-Demag Indonesia,Service Technician,Timika,,Kontrak,"PT. MHE-Demag Indonesia (A member of the Konecranes group) is looking for Service Technician (Contract Under Outsource)., PT. MHE-Demag Indonesia (A member of the Konecranes group) is looking for Service Technician (Contract Under Outsource)., Position Summary:, Position Summary:, To do the service execution and oncall duties from Crane Service Timika and other assignments from the Superior as required, Main Responsibilities:, Main Responsibilities:, To do preventive Maintenance of Crane ProductTrouble Shooting of Crane ProductOncall Duties of Crane ProductSubmit complete service report and recommendation to Field Supervisor within two (2) days after job completed and report to supervisor after job completed doneImplement work safety regulations such as safety driving, working at heigh, job safety analysis, including 5-S are followedTo assist Field Supervisor in field job execution and workshop activityPerform service job following work instruction (technical guidance) in repair & service agreement and ensure getting approval from customer completelyMaintain and utilize service vehicle with fleet management systemMaintain tools, personal protective equipment & service vehiclesTo perform productivity and control expenses effectivelyTo attend service and safety training periodicallyTo serve the Company faithfully and diligently, performing your duties as required by the Company and using his best endeavours to promote the Company’s interests.Not to undertake any paid activities not provided for in this Contract.Not to compete directly or indirectly with the Company.To protect the confidentiality of all information in your position relating to the business or products of Konecranes Group, and to surrender all documents, materials and equipment relating to the assignment when the employment ends.Any other duties and assignments from the Superior as required., To do preventive Maintenance of Crane Product, Trouble Shooting of Crane Product, Oncall Duties of Crane Product, Submit complete service report and recommendation to Field Supervisor within two (2) days after job completed and report to supervisor after job completed done, Implement work safety regulations such as safety driving, working at heigh, job safety analysis, including 5-S are followed, To assist Field Supervisor in field job execution and workshop activity, Perform service job following work instruction (technical guidance) in repair & service agreement and ensure getting approval from customer completely, Maintain and utilize service vehicle with fleet management system, Maintain tools, personal protective equipment & service vehicles, To perform productivity and control expenses effectively, To attend service and safety training periodically, To serve the Company faithfully and diligently, performing your duties as required by the Company and using his best endeavours to promote the Company’s interests., Not to undertake any paid activities not provided for in this Contract., Not to compete directly or indirectly with the Company., To protect the confidentiality of all information in your position relating to the business or products of Konecranes Group, and to surrender all documents, materials and equipment relating to the assignment when the employment ends., Any other duties and assignments from the Superior as required., Requirement:, Requirement:, Diploma III Electrical or Vocational school in electrical with 3 years experience in related jobsMinimum 3 years of work experience in electrical, in heavy industries/ Metal industries/ Mechanical handling industries.Able to work at height and as a teamExcellent health conditionHave driving license (SIM A) is an advantagesWilling to work under outsourcingWilling to be located in Timika, Papua, Diploma III Electrical or Vocational school in electrical with 3 years experience in related jobs, Minimum 3 years of work experience in electrical, in heavy industries/ Metal industries/ Mechanical handling industries., Able to work at height and as a team, Excellent health condition, Have driving license (SIM A) is an advantages, Willing to work under outsourcing, Willing to work under outsourcing, Willing to be located in Timika, Papua, Willing to be located in Timika, Papua, Other Information:, Other Information:, Reports to Functionally: Field SupervisorReports to Disciplinary: Service Manager, Reports to Functionally: Field Supervisor, Reports to Disciplinary: Service Manager, ",https://www.jobstreet.co.id/id/job/service-technician-4519030?jobId=jobstreet-id-job-4519030&sectionRank=8&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT Teka P & T International,Staff Payroll HRD,Jakarta Selatan,,Penuh Waktu,"Memproses payroll sesuai jadwal cut off gaji yang ditentukan mulai dari input lembur, komisi, incentive, potongan BPJS, potongan koperasi, potongan pinjmana karyawan, sampai mengirimkan format excel kepada AtasanMembuat permintaan pembayaran (request payment) untuk : BPJS, Medical reimburse, dinas luar, kacamata reimbursment, bantuan melahirkan, bantuan kedukaan, dll,Memproses registrasi dan non-aktif peserta BPJS Kesehatan & Ketenagakerjaan karyawan.Memproses perjalanan dinas karyawan untuk memastikan anggaran perjalanan dinas tsb tidak melebihi anggaran yang telah ditentukan perusahaan.Memproses penambahan dan atau pengurangan peserta asuransi Sinarmas untuk memastikan peserta telah terdaftar atau dinon-aktifkan dari kepesertaan asuransi Sinarmas.Memproses pemesanan tiket dan voucher hotel yang diajukan oleh karyawan untuk memastikan pesanan tiket dan voucher sesuai dengan waktu yang telah ditentukan/diminta oleh karyawan.Menyimpan file/dokumen SNI dan ISO 9001:2015 untuk memastikan dokumen ISO tersebut tersusun rapi sesuai standar ISO.Melaksanakan tugas lain sesuai instruksi Atasan, Memproses payroll sesuai jadwal cut off gaji yang ditentukan mulai dari input lembur, komisi, incentive, potongan BPJS, potongan koperasi, potongan pinjmana karyawan, sampai mengirimkan format excel kepada Atasan, Membuat permintaan pembayaran (request payment) untuk : BPJS, Medical reimburse, dinas luar, kacamata reimbursment, bantuan melahirkan, bantuan kedukaan, dll,, Memproses registrasi dan non-aktif peserta BPJS Kesehatan & Ketenagakerjaan karyawan., Memproses perjalanan dinas karyawan untuk memastikan anggaran perjalanan dinas tsb tidak melebihi anggaran yang telah ditentukan perusahaan., Memproses penambahan dan atau pengurangan peserta asuransi Sinarmas untuk memastikan peserta telah terdaftar atau dinon-aktifkan dari kepesertaan asuransi Sinarmas., Memproses pemesanan tiket dan voucher hotel yang diajukan oleh karyawan untuk memastikan pesanan tiket dan voucher sesuai dengan waktu yang telah ditentukan/diminta oleh karyawan., Menyimpan file/dokumen SNI dan ISO 9001:2015 untuk memastikan dokumen ISO tersebut tersusun rapi sesuai standar ISO., Melaksanakan tugas lain sesuai instruksi Atasan, ",https://www.jobstreet.co.id/id/job/staff-payroll-hrd-4518978?jobId=jobstreet-id-job-4518978&sectionRank=9&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
PT. Tsingshan Steel Indonesia,Guest Attendant 接待员,Sulawesi Tengah,"IDR 12,000,000 - IDR 14,000,000",Penuh Waktu,"Konten Kerja 工作内容, Konten Kerja 工作内容, 1. Bertanggung jawab atas koordinasi pekerjaan penerimaan tamu, pengaturan itinerary, pengelolaan buku besar penerimaan tamu, memandu tamu, presentasi dll., 负责接待事务对接，行程安排，管理接待台账，参观引导和讲解等, 2. Membantu dalam pembangunan budaya perusahaan, termasuk publisitas internal dan eksternal perusahaan, perencanaan dan pelaksanaan kegiatan budaya, olahraga dll., 协助做好公司企业文化建设，包括公司内、外部各类宣传、文体活动组织策划实施等, 3. Membantu pekerjaan administrasi lainnya dan sebagian pekerjaan penerjemahan., 协助做好其他行政事务和部分翻译事务, 4. Menyelesaikan tugas lain yang diberikan oleh atasan., 完成领导交办的其他任务, Benefit 福利待遇, Benefit 福利待遇, 1. Makan dan tempat tinggal gratis (makan tiga kali sehari+supper), 免费食宿（每日三餐+夜宵）, 2. BPJS+asuransi kesehatan, pemeriksaan fisik tahunan, PPh 21 ditanggung perusahaan, 社保+健康保险，年度体检，个税公司承担, 3. Perusahaan menyediakan fasilitas kesehatan 24 jam gratis, 公司提供24小时免费医疗设施, 4. Fasilitas hiburan gratis di dalam perusahaan (lapangan bulu tangkis indoor, lapangan basket, lapangan sepak bola, KTV, dll), 公司内部免费娱乐设施（室内羽毛球场、篮球场、足球场、KTV等）, 5. Gaji Nego, 薪资面议, Persyaratan 要求, Persyaratan 要求, 1. Mahir berbahasa Mandarin, Indonesia dan Inggris, fasih dalam ekspresi lisan, mampu membaca dan menulis, intertranslasi lancar dan akurat, 精通中、印尼、英语三种语言，口语表达流利、能读能写、互译流畅准确, 2. Rasa tanggung jawab yang kuat, antusias, teliti dan responsif, 责任心强，热心，心细，反应灵敏, ",https://www.jobstreet.co.id/id/job/guest-attendant-%E6%8E%A5%E5%BE%85%E5%91%98-4519064?jobId=jobstreet-id-job-4519064&sectionRank=10&token=0~2fad7e32-dd38-40e7-9c5c-60eeb871ebaf&fr=SRP%20Job%20Listing
