Job Title,Company,Location,Work Type,Study Requirement,Experience,Skill,Salary,Job Description,Job Requirements,Link
Supervisor IPAL,Sinergi 7 Utama,"Gedebage, Bandung, Jawa Barat, Indonesia",Kontrak,Minimal Sarjana (S1),Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",Rp4jt-Rp6jt,N/A,N/A,https://glints.com/id/opportunities/jobs/supervisor-ipal/67af5e10-547c-4f16-97d6-28e400f49d1e?utm_referrer=explore
Staff Telemarketing,Financia Golden Trade,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Kontrak,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin","Rp1,9jt-Rp2,1jt",N/A,Pendidikan minimal SMU/SederajatFasih menggunakan komputerPengalaman tidak diutamakanKemampuan berorientasi pada targetMemiliki kemampuan komunikasi yang baik dan kemampuan pemasaranDomisili di Jakarta dan sekitarnya,https://glints.com/id/opportunities/jobs/staff-telemarketing/8c8d68d1-c5a2-454d-973e-0bebf024e26d?utm_referrer=explore
Management Trainee,Victory International Futures CentralPark,"Grogol Petamburan, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin","Rp4,5jt-Rp5jt",N/A,FREE sertifikasi wakil pialang di BAPPEBTI (sesuai dg ketentuan perusahaan)Allowance (Pendapatan per bulan)Bonus Kinerja bulananKomisiTelfon dan mobil operasional,https://glints.com/id/opportunities/jobs/management-trainee/3be042a9-0b4c-4be2-9adc-586d987d36b9?utm_referrer=explore
Desainer Grafis Sosmed,Bikinidcard,"Kapanewon Sewon, Bantul, DI Yogyakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",Rp10jt-Rp25jt,N/A,Cowok usia max. 27 tahun  Belum menikah  Domisili Jogja / Bantul  Kreatif dan Inovatif  Bisa membuat konsep konten  Mahir CorelDraw & Photoshop  Mahir membuat Foto & Video  Mahir membuat desain yang BAGUS untuk konten sosmed dan iklan,https://glints.com/id/opportunities/jobs/desainer-grafis-sosmed/dabc1caf-83f2-4c50-abf6-7d80138c26c2?utm_referrer=explore
Finance Supervisor,Pt Via Pulsa Global Indonesia,"Kapanewon Ngaglik, Sleman, DI Yogyakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),3 – 5 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",Rp6jt-Rp10jt,N/A,"Keterampilan mengelola keuanganKemampuan mengoperasikan Microsoft OfficeDapat berkomunikasi dengan baik dan profesional.Memiliki kemampuan analytical thinking, planning and organizing, problem solving, dan decision making yang baik.Pengalaman Kerja Minimal 2 (dua) Tahun Sebagai Supervisor (Finance, Audit, Operasional)Pendidikan Formal: Minimal S1 Akuntansi, S1 Manajemen (Manajemen Keuangan), S1 Perbankan.",https://glints.com/id/opportunities/jobs/finance-supervisor/ecca878f-4e6a-4b05-8cfd-391af8f76626?utm_referrer=explore
Sales Generalis Bank BUMN,Sumberdaya Andalan Mandiri,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),1 – 3 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin","Rp2,8jt",N/A,Gaji Pokok (UMP)BPJS Kesehatan dan BPJS Ketenagakerjaan sesuai ketentuanTunjangan Hari RayaInsentif,https://glints.com/id/opportunities/jobs/sales-generalis-bank-bumn/80225828-9d7b-4bf4-880c-ecdab3000b64?utm_referrer=explore
Java Software Engineer,Ikonsultan Inovatama,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Kontrak,Minimal Sarjana (S1),5 – 10 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin","Rp2,5jt-Rp4jt",N/A,"Proficiency in Java programming.Strong knowledge of the Spring Framework, particularly Spring Boot for building microservices.Understand the principles and best practices of microservices architecture.Experience in designing and developing microservices.Be adept at creating RESTful APIs using Spring Boot.Familiarity with containerization technologies like Docker.Experience with container orchestration platforms such as Kubernetes.Knowledge of various database systems, both relational and NoSQL.Expertise in data modeling for microservices.Understanding of API gatewaysFamiliarity with service discovery tools like Eureka or Consul.Experience with message brokers like Apache Kafka or RabbitMQ.Knowledge of event-driven architecture patterns.Proficiency in securing microservices, including authentication and authorization.Knowledge of OAuth, JWT, and SSL/TLS.Experience with Continuous Integration and Continuous Deployment (CI/CD) pipelines.Familiarity with tools like Jenkins, Travis CI, or GitLab CI/CD.Unit testing, integration testing, and end-to-end testing using tools like JUnit and Postman.Basic knowledge of DevOps practices, including infrastructure as code (IaC).Understanding of cloud platforms like AWS, Azure, or Google Cloud.Proficiency with monitoring tools like Prometheus, Grafana, or ELK stack (Elasticsearch, Logstash, Kibana).Experience in application performance monitoring.Strong documentation skills for maintaining code and system documentation.Familiarity with version control systems like Git.Strong problem-solving skills.Good communication and collaboration skills for working in a team.An understanding of agile methodologies.Depending on the industry you work in, domain-specific knowledge can be crucial. For example, financial services, healthcare, e-commerce, etc.Knowledge of techniques for optimizing the performance and scalability of microservices.Implementing mechanisms to make microservices fault-tolerant and resilient.Keeping up-to-date with security best practices to protect microservices against vulnerabilities.The field of microservices is constantly evolving. A willingness to learn and adapt to new technologies and best practices is crucial.",https://glints.com/id/opportunities/jobs/java-software-engineer/57435a79-8b8f-4ea4-bad6-9a172578fb82?utm_referrer=explore
Sales Executive,PT Istana Surya Perkasa,"Sawahan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin","Rp3,5jt-Rp4,5jt",N/A,"Laki- Laki, maksimal 38 tahunPendidikan minimal SMA/SMK/D1 (Teknik Mesin diutamakan)Pengalaman minimal 2 tahun di bidang yang samaKemampuan komunikasi dan negosiasi yang baikMemahami penjualan mesin, sparepart dan dinamiPengetahuan tentang administrasi sales  teknologi informasi diperlukanBersedia dinas luar kota dan pulauDiutamakan menguasai wilayah Indonesia Barat ( JABAR, DKI, BANTEN, & SUMATERA)Penempatan Surabaya",https://glints.com/id/opportunities/jobs/sales-executive/f142a78e-98ce-4e61-b418-e00c746bd662?utm_referrer=explore
Presales System Engineer,PT. Eversaas Power Technology,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),1 – 3 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin","Rp1,5jt-Rp2,5jt",N/A,"Melakukan pertemuan dengan Client atau pelanggan yang potensialMelakukan pendekatan kepada Client, mengatur perencanaan promosi, serta mengumpulkan berbagai informasi yang berhubungan dengan solusi yang nantinya akan ditawarkan.Memberikan solusi terbaik sesuai dengan jangka waktu yang diinginkan Client yang telah disepakati sebelumnya.Menyampaikan presentasi Merespon proposal RFP ( Request for Proposal )Memfollow up dan memantau proses penawaran.Menjaga hubungan baik dengan client",https://glints.com/id/opportunities/jobs/presales-system-engineer/782b0292-4a8b-4eab-81a3-435c13cd85b4?utm_referrer=explore
Hair Stylist/Salon,Cuts and Beyond,"Cisauk, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,"Problem Management, Customer Relationship Management (CRM), Memiliki Jiwa Kepemimpinan, Pengalaman Buat Konten, Corporate Finance, Sales Marketing, Eureka, Spring Framework, Sales and Marketing, Presales Engineer, Hair Cutting, Salon Assistant, Sales Operations, Trend Forecasting, Adobe Illustrator, Hospitality, Food Preparation, Driving Car, Penjualan Dan Pemasaran, Want to learn and grow, akreditasi jurusan minimal B, Sales Marketing, Content Creator, Fluent In English Both Oral And Written, strengthening data presentation skills, KTP, Diutamakan memiliki kendaraan pr, Customer Service Skill, Adobe Photoshop, Lead Qualification, English, Communication, Communication, Graphic Design, Shoot Video, Producer Video, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Jujur Dan Pekerja Keras, Environmental & Occupational Health > HSE, Komputer Ms Office, Apache Kafka, Sales Canvassing, Sarjana 1 > Sarjana 1 Marketing, Administrative Assistance, Good Communication Skills, Corel Draw, Creative Thinking, Disiplin",Rp105rb-Rp110rb,N/A,N/A,https://glints.com/id/opportunities/jobs/hair-stylist-salon/a042b65f-027d-4687-bd78-43ccc2089404?utm_referrer=explore
