Job Title,Company,Location,Work Type,Study Requirement,Experience,Skill,Salary,Link
Supervisor IPAL,Sinergi 7 Utama,"Gedebage, Bandung, Jawa Barat, Indonesia",Kontrak,Minimal Sarjana (S1),Kurang dari setahun,Problem Management,"Rp1,9jt-Rp2,1jt",https://glints.com/id/opportunities/jobs/supervisor-ipal/67af5e10-547c-4f16-97d6-28e400f49d1e?utm_referrer=explore
Desainer Grafis Sosmed,Bikinidcard,"Kapanewon Sewon, Bantul, DI Yogyakarta, Indonesia",Penuh Waktu,Minimal SMA/SMK,Kurang dari setahun,Pengalaman Buat Konten,Rp5jt-Rp8jt,https://glints.com/id/opportunities/jobs/desainer-grafis-sosmed/dabc1caf-83f2-4c50-abf6-7d80138c26c2?utm_referrer=explore
Marketing Executive,BnB Koi Center,"Gunung Putri, Bogor, Jawa Barat, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),1 – 3 tahun,Penjualan Dan Pemasaran,"Rp4,5jt-Rp5jt",https://glints.com/id/opportunities/jobs/marketing-executive/51364954-33c8-4bf3-9760-92ab86827f16?utm_referrer=explore
Finance Supervisor,Pt Via Pulsa Global Indonesia,"Kapanewon Ngaglik, Sleman, DI Yogyakarta, Indonesia",Penuh Waktu,Minimal Sarjana (S1),3 – 5 tahun,Corporate Finance,Rp10jt-Rp25jt,https://glints.com/id/opportunities/jobs/finance-supervisor/ecca878f-4e6a-4b05-8cfd-391af8f76626?utm_referrer=explore
Sales Generalis Bank BUMN,Sumberdaya Andalan Mandiri,"Kebayoran Baru, Jakarta Selatan, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),1 – 3 tahun,Sales Marketing,Rp6jt-Rp10jt,https://glints.com/id/opportunities/jobs/sales-generalis-bank-bumn/80225828-9d7b-4bf4-880c-ecdab3000b64?utm_referrer=explore
Java Software Engineer,Ikonsultan Inovatama,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Kontrak,Minimal Sarjana (S1),5 – 10 tahun,Eureka,"Rp2,8jt",https://glints.com/id/opportunities/jobs/java-software-engineer/57435a79-8b8f-4ea4-bad6-9a172578fb82?utm_referrer=explore
Sales Executive,PT Istana Surya Perkasa,"Sawahan, Surabaya, Jawa Timur, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,Spring Framework,"Rp2,5jt-Rp4jt",https://glints.com/id/opportunities/jobs/sales-executive/f142a78e-98ce-4e61-b418-e00c746bd662?utm_referrer=explore
Presales System Engineer,PT. Eversaas Power Technology,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,Minimal Diploma (D1 - D4),1 – 3 tahun,Sales and Marketing,"Rp3,5jt-Rp4,5jt",https://glints.com/id/opportunities/jobs/presales-system-engineer/782b0292-4a8b-4eab-81a3-435c13cd85b4?utm_referrer=explore
Hair Stylist/Salon,Cuts and Beyond,"Cisauk, Tangerang, Banten, Indonesia",Penuh Waktu,Minimal SMA/SMK,1 – 3 tahun,Presales Engineer,Rp2jt-Rp2jt,https://glints.com/id/opportunities/jobs/hair-stylist-salon/a042b65f-027d-4687-bd78-43ccc2089404?utm_referrer=explore
Sales Canvasser,PT Sanjaya Garmen Aksesoris,"Tambora, Jakarta Barat, DKI Jakarta, Indonesia",Kontrak,Minimal SMA/SMK,1 – 3 tahun,Hair Cutting,"Rp6jt-Rp6,5jt",https://glints.com/id/opportunities/jobs/sales-canvasser/cb58fe51-5e83-42ce-838f-084f0f770f6b?utm_referrer=explore
