id,Job_title,Company,Category,Location,Work Type,Working_type,Salary,Experience,Skills,Study_requirement,Descriptions,Link,Link_img
jt0,Assistant Accounting & Finance Manager,PT TDK ELECTRONICS INDONESIA,Akuntansi & Pelaporan Finansial (Akuntansi),"Batam Kota, Kepulauan Riau",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Job Responsibilities:, , , Support Head of Accounting & Finance to run Accounting & Finance function and reporting,Support Head of Accounting & Finance to achieve relevant key financial objectives: accuracy of P&L and maintenance of financial controls,Ensure accuracy of accounting and finance taskEnsure accuracy of External report such as Central Bank Indonesia, SIMODIS, RTE/LLD Report, KPPK Report, BKPM, etcSupervise and authorize daily accounting transactions, including inter-company transactions, accounts payable, accounts receivable, general ledger entries, and reconciliation processes in full compliance with corporate standards as well as local accounting principles, tax, and management reporting requirements.Prepare Tax Planning Reporting Package (TRP)Compliance with all statutory reporting, filling, and other requirements – corporate tax, VAT, withholding tax, vocational tax, and other statutory bodies.Liaise with Tax consultant for Transfer Pricing DocumentationTo assist in the cash and budgetary planning for the Group including review monthly bank reconciliations, Monthly Hedging as well as monthly cash flow forecast planning and monitoring that prepared by subordinate.To review expense disbursement, employee expenses reimbursement, vendor payment and Loan payment.Involved in annual budget, plans and policies in line with the Group’s overall strategies and targets.Preparation and assistance for monthly closing tasks,Liaise with internal & external Auditors on financial statements productions.Handle other ad-hoc assignments as required., Support Head of Accounting & Finance to run Accounting & Finance function and reporting,, Support Head of Accounting & Finance to achieve relevant key financial objectives: accuracy of P&L and maintenance of financial controls,, Ensure accuracy of accounting and finance task, Ensure accuracy of External report such as Central Bank Indonesia, SIMODIS, RTE/LLD Report, KPPK Report, BKPM, etc, Supervise and authorize daily accounting transactions, including inter-company transactions, accounts payable, accounts receivable, general ledger entries, and reconciliation processes in full compliance with corporate standards as well as local accounting principles, tax, and management reporting requirements., Prepare Tax Planning Reporting Package (TRP), Compliance with all statutory reporting, filling, and other requirements – corporate tax, VAT, withholding tax, vocational tax, and other statutory bodies., Liaise with Tax consultant for Transfer Pricing Documentation, To assist in the cash and budgetary planning for the Group including review monthly bank reconciliations, Monthly Hedging as well as monthly cash flow forecast planning and monitoring that prepared by subordinate., To review expense disbursement, employee expenses reimbursement, vendor payment and Loan payment., Involved in annual budget, plans and policies in line with the Group’s overall strategies and targets., Preparation and assistance for monthly closing tasks,, Liaise with internal & external Auditors on financial statements productions., Handle other ad-hoc assignments as required., , , Requirements :, , Bachelor Degree in Finance or Accounting, or its equivalent.Minimum 5 years of working experience in treasury and related field.Strong knowledge of financial principles, accounting standards, and financial regulations.Able to handle full set accounts.Excellent communications skills and the ability to work in a team-oriented environmentMust be able to work under pressure and meet tight deadlinesStrong sense of ownership and motivationAble to start work in short notice would be an advantage.Proficiency in use of computer. Especially excellent MS-Excel skills is a must, experience in MS-Access, MS-Powerpoint, Hyperion and SAP is an advantage, Bachelor Degree in Finance or Accounting, or its equivalent., Minimum 5 years of working experience in treasury and related field., Strong knowledge of financial principles, accounting standards, and financial regulations., Able to handle full set accounts., Excellent communications skills and the ability to work in a team-oriented environment, Must be able to work under pressure and meet tight deadlines, Strong sense of ownership and motivation, Able to start work in short notice would be an advantage., Proficiency in use of computer. Especially excellent MS-Excel skills is a must, experience in MS-Access, MS-Powerpoint, Hyperion and SAP is an advantage, ",https://www.jobstreet.co.id/id/job/71907411?type=standout&ref=search-standalone,;
jt1,Rental Automotive Manager,Thamrin Group,Jasa Otomotif (Keterampilan & Jasa),"Palembang, Sumatera Selatan",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Requirement :, Bachelor degree from any majorAt least 5 years working experience in rental automotiveHave experience handling project tenderAbility to deliver new and creative solution to business challengeHave good communication and negotiation skills, Bachelor degree from any major, At least 5 years working experience in rental automotive, Have experience handling project tender, Ability to deliver new and creative solution to business challenge, Have good communication and negotiation skills, , Responsibility :, Actively engage with industry, non government and private related organizationsExecute sales plan to target all prospects with a view to developing ongoing relationships as a key car purchase or rental partnerProvide a professional and appropriate to approach to customer to support business growth, brand differentiation, sales margin and customer loyaltyLiase with operations including vehicles operations, staff, driver, logistic, customer requests and reservation to achieve operations with zero mistakesMeet and exceed sales volume KPI as advised by the management, Actively engage with industry, non government and private related organizations, Execute sales plan to target all prospects with a view to developing ongoing relationships as a key car purchase or rental partner, Provide a professional and appropriate to approach to customer to support business growth, brand differentiation, sales margin and customer loyalty, Liase with operations including vehicles operations, staff, driver, logistic, customer requests and reservation to achieve operations with zero mistakes, Meet and exceed sales volume KPI as advised by the management, ",https://www.jobstreet.co.id/id/job/71894097?type=standout&ref=search-standalone,;
jt2,staff administrasi,PT FEATA SEPATU INDONESIA,Asisten Administratif (Administrasi & Dukungan Perkantoran),Jakarta Raya,Penuh waktu,Tidak ditampilkan,"Rp 6,000,000 – Rp 8,000,000 per month",Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Deskripsi Pekerjaan :, Deskripsi Pekerjaan :, Memproses administrasi yang berkaitan dengan departemen seperti entry data, pengolahan data dan pengarsipan dataBuka nota menggunakan komputerMelakukan pengecekan dan Merekap stok tiap bulanMelakukan penginputan stok barangMembuat laporan stok ke atasanMemastikan kebenaran dan kelengkapan atas setiap dokumen/barang yang dijalankan dengan rapi dan benar, kualifikasi :, kualifikasi :, Usia maks. 30 tahun.Pendidikan min. SMA/SMKMenguasai komputer Ms. Office (Excel, Word, Power Point )Mampu berkomunikasi dengan baikMemiliki kemampuan administrasi yang  baikTeliti, Jujur dan bertanggung jawabPengalaman sebagai administrasi  min. 2 tahun, Bisa berbahasa mandarin, Bisa berbahasa mandarin, ",https://www.jobstreet.co.id/id/job/71825921?type=standout&ref=search-standalone,;
jt3,Accounting Manager,"Sarana Menara Nusantara Tbk., PT",Akuntansi & Pelaporan Finansial (Akuntansi),Jakarta Raya,Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Responsibilities:, Responsibilities:, · Be the first contact to handle accounting issues., · Monitor and analyze accounting data and produce financial report or statement, · Financial statement / reporting review for internal, OJK, investor, and stakeholder, · Assist work and budget plan for all department activities and realization report (monthly and annually), · Ensure all sub-ordinate activities comply with company regulation., · Develop team with coaching, · Assisst and analyze process of Acquisition, , Requirements:, Requirements:, · Bachelor in Accounting from reputable University, · Minimum 4 years of experience as Accounting Manager, · Having work experience in public listed company, public accounting firm, or telecommunication company will be an advantage, · Having good knowledge in Accounting, Financial Analysis, and Financial Statements / Reports, · Good communication & analytical skills, and critical thinking, · High integrity and excellent work ethics, with strong sense of responsibility, commitment, and discipline, · Fluent in English, both oral and written, · Strong capabilities in Ms. Office (advance in Ms. Excel), Accounting Program, SAP, Software or Databases, , , Due to the high volume of applications we are experiencing, our team will only be in touch with you if your application is shortlisted., ",https://www.jobstreet.co.id/id/job/71922396?type=standout&ref=search-standalone,;
jt4,Finance and Accounting Staff,PT Delonix Group Indonesia,Akuntansi & Pelaporan Finansial (Akuntansi),"Jakarta Utara, Jakarta Raya",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Job Responsibilities : - Record and maintain financial transactions, ensuring accuracy and compliance with established accounting standards. - Prepare financial statements, reports, and budgets to provide timely and accurate financial information. - Reconcile bank statements and other financial documents, investigating and resolving discrepancies. - Assist in the preparation of tax calculations, tax payments, and tax reporting to the tax office. - Manage accounts payable and receivable, ensuring timely payment and collection processes. - Execute payments for the company via Internet banking payment facilities., Requirements : - Fluent in English, Mandarin Speaker is plus point (Minimum Intermediate level) - Bachelor's degree in Finance, Accounting, or a related field. - Strong understanding of accounting principles, financial statements, and financial analysis. - Proficient in the use of accounting software and Microsoft Excel. - Excellent attention to detail and organizational skills. - Knowledge of tax regulations and compliance requirements., ",https://www.jobstreet.co.id/id/job/71878058?type=standout&ref=search-standalone,;
jt5,SUPERVISOR AKUNTING & FINANCE,PT Kingduan Industrial Indonesia,Akuntansi & Pelaporan Finansial (Akuntansi),"Bandung, Jawa Barat",Penuh waktu,Tidak ditampilkan,"Rp 5,500,000 – Rp 8,250,000 per month",Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Kualifikasi:, Kualifikasi:, Pendidikan minimal D3 Akuntansi.Berpengalaman di bidangnya min 3 tahun.Mengerti Prosesi Akuntansi & PerpajakanDiutamakan fasih berbahasa Inggris/Mandarin.Jujur, memiliki loyalitas tinggiDetail & telitiBisa bekerja dalam timMampu bekerja di bawah tekananTidak pernah memiliki catatan buruk di Kepolisian (di buktikan dengan SKCK)Bersedia ditempatkan di daerah Rancaekek, Pendidikan minimal D3 Akuntansi., Berpengalaman di bidangnya min 3 tahun., Mengerti Prosesi Akuntansi & Perpajakan, Diutamakan fasih berbahasa Inggris/Mandarin., Jujur, memiliki loyalitas tinggi, Detail & teliti, Bisa bekerja dalam tim, Mampu bekerja di bawah tekanan, Tidak pernah memiliki catatan buruk di Kepolisian (di buktikan dengan SKCK), Bersedia ditempatkan di daerah Rancaekek, Bersedia ditempatkan di daerah Rancaekek, , Deskripsi Pekerjaan:, Deskripsi Pekerjaan:, Membuat Laporan Keuangan Harian, bulananRekonsiliasi BankERP data input/GLMengontrol a/r & a/pMengarsip dokumen-dokumen accountingMempersiapkan detail laporan bulananMengecek Piutang & HutangMenghitung dan menyesuaikan penyusutan aktiva tetap, Membuat Laporan Keuangan Harian, bulanan, Rekonsiliasi Bank, ERP data input/GL, Mengontrol a/r & a/p, Mengarsip dokumen-dokumen accounting, Mempersiapkan detail laporan bulanan, Mengecek Piutang & Hutang, Menghitung dan menyesuaikan penyusutan aktiva tetap, ",https://www.jobstreet.co.id/id/job/71889957?type=standout&ref=search-standalone,;
jt6,ADMIN MERCHANDISER,PT Kinza Cita Sinergi,Asisten Administratif (Administrasi & Dukungan Perkantoran),"South Tangerang, Banten",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"ADMIN MERCHANDISER, ADMIN MERCHANDISER, – Berusia maks. 30 tahun, – Berijazah min. S1, – Excel expert, – Memiliki pengalaman di retail merchandising min. 2 tahun, – Mengerti bahasa Inggris, – Berintegritas, teliti, bertanggung jawab dan bisa bekerjasama dalam team, , Deskripsi pekerjaan, Deskripsi pekerjaan, – Menjaga inventory level yang sesuai dengan kapasitas dan kebutuhan, aktual toko sehingga toko bisa mencapai target penjualan yang optimal, – Membuat perencanaan, analisa dan melaporkannya secara teratur, , Persyaratan:, Persyaratan:, – CV, – Copy KTP, – Copy ijazah  dan transkrip nilai terakhir, – Foto diri atau pas foto 4x6, – Copy surat pengalaman kerja, , Segera kirimkan / email lamaran kepada:, Segera kirimkan / email lamaran kepada:, Head Office  : PT. Kinza Cita Sinergi, Alamat           : Jl. Bhayangkara Raya, Ruko Crystal Lane, No.39 Alam Sutra, Tangerang Selatan, Banten, Email           :[email protected], ",https://www.jobstreet.co.id/id/job/71920894?type=standout&ref=search-standalone,;
jt7,BUSINESS DEVELOPMENT HEAD (LAMPUNG) RS BUDI MEDIKA LAMPUNG,PT Sungai Budi,"Fisioterapi, Terapi Okupasi & Rehabilitasi (Kesehatan & Medis)",Lampung,Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Business Development Head Job Description:, Business Development Head Job Description:, Cultivate relationships with independent physician groups and hospitals to provide information about business opportunities across the Front Range., Utilize data to create detailed plans for activity, business plans, market analyses, opportunity inventory, market surveillance, and activity reporting., Demonstrate success in creating and identifying growth opportunities and executing on follow up needs to service customers., Facilitate business valuations and due diligence and participating in negotiations., Provide excellent customer service to internal and external customers., , Requirements:, Requirements:, Candidate must possess at least a Bachelor's Degree, Master's Degree or equivalent., At least 5 year(s) of working experience in Business Development area or related field is required for this position., Have a good presentation and communication skill Able to work under pressure Strong leadership and have a good analytical skill, Willing to be placed in Jakarta or Tangerang, ",https://www.jobstreet.co.id/id/job/71925863?type=standout&ref=search-standalone,;
jt8,Compensation Benefit Specialist,PT Gaji Cerdas Indonesia,Remunerasi & Tunjangan (Sumber Daya Manusia & Perekrutan),"Jakarta Selatan, Jakarta Raya",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"Evaluating and modifying existing compensation and benefits programs, policies, and procedures.Developing and implementing new compensation and benefits programs, policies, and procedures.Ensuring all programs, policies, and procedures comply with current legislation.Communicating with third-party services to negotiate benefit plans and resolve benefit-related issues.Developing profit-sharing, incentive, employee wellness, and performance management programs.Managing subordinate HR employees and daily operations related to compensation and benefits activities.Preparing budgets, reports, and presentations., Requirement :, Bachelor's Degree majoring Accounting, Computerized Accounting, or equivalent.At least 2 years experience as Compensation Benefit & Payroll of working experience in the related field is required.Experienced in organizing Salary Structure standard based on the Organization Structure/ Charts.Experienced in handling Payroll in a company which have more than 700 employee.Familiar with Government Regulation in Compensation & Benefit e.g regulation and implementation of BPJS Ketenagakerjaan & BPJS Kesehatan, Tax Article 21 (PPH 21), and also employee e-SPT.Excellent in using Ms. Office application: Word, Excel (with advanced skill in Data Processing).Preferably have experience in HRIS and Payroll Information SystemPossess high attention to details., ",https://www.jobstreet.co.id/id/job/71922617?type=standout&ref=search-standalone,;
jt9,SALES MANAGER AREA BALIKPAPAN,PT Sarana Instrument,Manajemen (Penjualan),"Balikpapan, Kalimantan Timur",Penuh waktu,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,Tidak ditampilkan,"achelor majoring in Physic/Electrical/Mechanical/Instrument EngineeringStay in BalikpapanHaving experience as Sales Engineer 2-3 years and familiar with Business ProcessStrong initiative and sales skill deal with new customerGood communication skillGood command of speaking and written English, achelor majoring in Physic/Electrical/Mechanical/Instrument Engineering, Stay in Balikpapan, Having experience as Sales Engineer 2-3 years and familiar with Business Process, Strong initiative and sales skill deal with new customer, Good communication skill, Good command of speaking and written English, Job Description :, Create opportunity for all product related at Oil & Gas CompanySales Call/Site VisitFollow up Inquiry Quotation and Grab orderGenerate Sales Report (Sales Funnel) and Sales Tools ReportEngage Relationship with Oil & Gas Company, Create opportunity for all product related at Oil & Gas Company, Sales Call/Site Visit, Follow up Inquiry Quotation and Grab order, Generate Sales Report (Sales Funnel) and Sales Tools Report, Engage Relationship with Oil & Gas Company, ",https://www.jobstreet.co.id/id/job/71908526?type=standout&ref=search-standalone,;
