id,Job_title,Company,Category,Location,Work_type,Working_type,Salary,Experience,Skills,Study_requirement,Desc,Link,Link_img
kt0,Staff Recruitment,PT. Kotagede Jewellery Group,Tidak ditampilkan,"Kabupaten Sleman, DI Yogyakarta",Full Time,Kerja di kantor,Rp 2.500.000,Tidak ada ketentuan,"Ability Testing Tools, Analysis Testing Tools, Assessment Skills Development, Administrative Testing Tools, Adaptability Testing Tools, Analysis, Campus Recruitment, Candidate Assessment, Candidate Database Management, Candidate Interview",S1,,https://kerja.kitalulus.com/id/lowongan/detail/staff-recruitment-zlgk,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Fcf373758-c0a7-483b-9dbd-2d776bb11000%2Fthumbnail&w=96&q=75;
kt1,"Business Officer (Wonogiri, Sukoharjo)",PT Bina Artha Ventura,Tidak ditampilkan,"Kabupaten Wonogiri, Jawa Tengah",Full Time,Kerja di kantor,Rp 3.200.000,Minimal 1 Tahun,"Account Management, Business Development, Business Relationship Development",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/business-officer-wonogiri-sukoharjo-ru21,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F28b435b7-63d5-45b4-2c1f-c294e0246400%2Fthumbnail&w=96&q=75;
kt2,STAFF PROMOTION / SPB /SPG,PT Muda Berkarya,Tidak ditampilkan,"Jakarta Pusat, DKI Jakarta",Full Time,Kerja di lapangan,Rp 5.000.000,Tidak ada ketentuan,Keterampilan Komunikasi,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/staff-promotion-spb-spg-7ynl,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F032c8fc3-9b41-47fa-e777-165b99f15d00%2Fthumbnail&w=96&q=75;
kt3,Junior Logistik,PT Zona Karya Nusantara,Tidak ditampilkan,"Kota Malang, Jawa Timur",Kontrak,Kerja di kantor,Tidak ditampilkan,Minimal 1 Tahun,"Adaptability, Distribution and Logistics Management, Microsoft Excel, POS System Operation, Purchase Management",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/junior-logistik-clyg,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F86446857-70f9-4523-9566-e82305b8c300%2Fthumbnail&w=96&q=75;
kt4,CREW OUTLET WAROENG SAMBAL BAKAR - MEDAN TEMBUNG,DGP Boga,Tidak ditampilkan,"Kota Medan, Sumatra Utara",Full Time,Kerja di kantor,Rp 1.500.000,Tidak ada ketentuan,"Cooking, Food and Beverage Service, Cashier Operation, Washing Dishes",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/crew-outlet-waroeng-sambal-bakar-medan-tembung-0iji,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7;"
kt5,OPERATOR GUDANG DENPASAR HUB,PT Cipar Sukses Bersama,Tidak ditampilkan,"Kota Denpasar, Bali",Full Time,Kerja di lapangan,Rp 2.713.673,Tidak ada ketentuan,Keterampilan Komunikasi,SMP/MTS/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/operator-gudang-denpasar-hub-1lj2,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2Ffc0f14c9-ba5c-4034-c913-6a6ca2a8b000%2Fthumbnail&w=96&q=75;
kt6,Cashier Frontliner,CV Biru Laut Abadi,Tidak ditampilkan,"Kabupaten Badung, Bali",Full Time,Kerja di kantor,Rp 3.200.000,Minimal 1 Tahun,"Microsoft Excel, Active Communication, Delivering Information in a Friendly Manner",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/cashier-frontliner-juhj,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F90a225f2-3714-45ca-3566-b740fa6ca300%2Fthumbnail&w=96&q=75;
kt7,Crew Store - Jogja,Shipper Indonesia,Tidak ditampilkan,"Kabupaten Sleman, DI Yogyakarta",Part Time,Kerja di kantor,Rp 2.765.775,Tidak ada ketentuan,"Hospitality, Food and Beverage Handling, Customer Service",SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/crew-store-yvc9,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F48b8e235-7937-4712-a2f1-11459c0c1900%2Fthumbnail&w=96&q=75;
kt8,PENJAGA TOKO DI MALL,Selvy Guava,Tidak ditampilkan,"Jakarta Barat, DKI Jakarta",Full Time,Kerja di lapangan,Rp 4.000.000,Minimal 1 Tahun,Adherence to Hygiene Standards,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/penjaga-toko-di-mall-ulfl,/_next/image?url=https%3A%2F%2Fimagedelivery.net%2FzmT1bHITMC1AralJOt9_Vg%2F3cfe13ee-d9a9-4d32-6d63-4c58512f2400%2Fthumbnail&w=96&q=75;
kt9,DRIVER MOTOR DAN MOBIL (SHOPEE EXPRESS) KAB. BOGOR DAN KOTA BOGOR,PT Artha Kreasi Utama,Tidak ditampilkan,"Kabupaten Bogor, Jawa Barat",Full Time,Kerja di lapangan,Rp 3.500.000,Tidak ada ketentuan,Driving Skills,SMA/SMK/Sederajat,,https://kerja.kitalulus.com/id/lowongan/detail/kurir-rider-kab-bogor-dan-kota-bogor-wri5,/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Fneat-element-283712.appspot.com%2Fcompany%2Flogo%2F4298%2F20220926_JC1636608305982_logo.jpg&w=96&q=75;
