Company,Job_title,Location,Salary,Skill,Job_Desc,Links
Cakeplabs,2D Artist,"Denpasar Timur, Denpasar, Bali, Indonesia","Rp3,5jt-Rp6jt","Game Industry, good basic design editing skills, 2d Illustration, Proficient In English, 2D Animation, 2d Graphics","Produce 2D Painted Renders of assets and textures for environment Props, objects and scenes for game engine, Understand and follow art requirements and specific needs of the project, Promptly learn any new tools or techniques, Execute tasks assigned to them according to project schedule while meeting quality expectations, Using Checklists to perform initial art and technical quality checks before sending art asset to the Team Leader for review, Fix all problems noted by Team Leader and Art Director, Promptly report to Team Leader about any difficulties encountered, Support Junior Artists helping them to deal with tasks when needed, Creating 2D graphic & UI assets for our simulations, Taking an active part in team meetings: suggesting improvements, actively taking on new roles, providing constructive feedback, etc., Proactively delivering new and inventive ideas that will support the team in efforts of solving day-to-day challenges",https://glints.com/id/opportunities/jobs/2d-artist/9ad82d68-9195-4530-a24b-a563a7f6e10b?utm_referrer=explore
PT OTTEE ONLINE RETAILERS,Host Live Streaming,"Senen, Jakarta Pusat, DKI Jakarta, Indonesia",Rp3jt-Rp6jt,"Memiliki Kemampuan Komunikasi Yang Baik, Pemasaran & Promosi, host live streaming","Melakukan siaran langsung penjualan produk melalui platform Shopee & TikTok., Mempromosikan dan memperkenalkan produk perusahaan kepada audiens., Berinteraksi secara aktif dengan audiens., Dapat berkomunikasi dengan jelas dan memikat menggunakan kemampuan berbicara yang baik., Memahami tren dan topik yang sedang populer untuk menarik minat audiens.",https://glints.com/id/opportunities/jobs/host-live-streaming/bf8e39b0-a531-4e9c-88f0-d2f729c24409?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales Firstmedia - Karawaci,"Karawaci, Tangerang, Banten, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-firstmedia-karawaci/c69f4b2a-5041-4be9-8e4d-9aa0f82aebd7?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales Firstmedia - Fatmawati,"Cilandak, Jakarta Selatan, DKI Jakarta, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-firstmedia-fatmawati/f2e4cf84-f82b-4c77-8e4c-65e47c61fce2?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales Firstmedia - Cideng,"Gambir, Jakarta Pusat, DKI Jakarta, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-firstmedia-cideng/ad446a90-1e4d-4973-b903-8c4825aa2954?utm_referrer=explore
PT Trijaya Maju Totalindo Jabodetabek 1,Sales First Media - Bekasi,"Bekasi Barat, Bekasi, Jawa Barat, Indonesia","Rp4,9jt-Rp5jt","Sales and Marketing, Sales, Sales Marketing","Gapok 4.901.788, Insentif dan Bonus, THR, BPJS, Fee Training",https://glints.com/id/opportunities/jobs/sales-first-media-bekasi/4813ec2b-df26-4240-99ef-609d41546144?utm_referrer=explore
Layz Production,[CLOSED] Software Engineer 1,"Samatiga, Kab. Aceh Barat, Nanggroe Aceh Darussalam, Indonesia",Rp5jt-Rp7jt,"JavaScript, Java, Java Programming","Membangun perangkat lunak yang kuat dan skalabel dengan membangun fitur baru, debugging, dan mengoptimalkan aplikasi, Menulis kode bersih untuk mengembangkan aplikasi web fungsional, Berkolaborasi dengan pengembang front-end untuk mengintegrasikan elemen yang terlihat oleh pengguna dengan logika sisi server, Mengembangkan dan mengusulkan produk atau fitur baru dengan memantau industri, Bekerja sama dengan desainer, manajer produk, dan administrator sistem untuk mengidentifikasi dan membangun fitur baru",https://glints.com/id/opportunities/jobs/closed-software-engineer-1/f49c2596-941f-499c-be56-4e77d2fa6240?utm_referrer=explore
Kawan Kerja,Programmer,"Bandung Wetan, Bandung, Jawa Barat, Indonesia",Rp100rb,"Programming, Problem Solving, Kerjasama Tim","Menciptakan sebuah program, Memodelkan atau merancang sistem, Melakuka pengujian atau testig program",https://glints.com/id/opportunities/jobs/programmer/0b074933-ce9d-4e16-b91a-9aae7a11f9dc?utm_referrer=explore
Arca's Coffee & Eatery,Barista,"Serpong, Tangerang Selatan, Banten, Indonesia",Rp2jt-Rp3jt,"Barista And Waiters, Barista And Bartender, Barista","Umur Maks 24 Tahun, Berpenampilan rapih, Tertarik dengan dunia kopi, Tidak harus ada pengalaman (tapi yang ada pengalaman aka diprioritaskan), Bersedia bekerja di hari libur, Jujur dan ada niat untuk bekerja",https://glints.com/id/opportunities/jobs/barista/8b26383d-60da-4d08-98b5-1b64b3578aba?utm_referrer=explore
Fastech Media Indonesia,HOST LIVE STREAMING MARKETPLACE,"Karawang Barat, Karawang, Jawa Barat, Indonesia",Rp3jt-Rp4jt,"Target Oriented, Proactive And Fast Learner, Creative, Host Live Steam, Confident, Public Speaking, Product Knowledge, Good Communication Skills, Sales Marketing","Minimal Lulusan SMA/SMK-Usia 30 Tahun, Memiliki komunikasi yang baik dalam menjelaskan sebuah produk dengan baik., Bekerja dengan target & dapat berjualan, Percaya diri tampil didepan kamera., Bersedia bekerja secara shift, 6 hari seminggu, (kemungkinan bekerja dihari Sabtu/minggu/hari libur nasional), Bersedia bekerja di Karawang.",https://glints.com/id/opportunities/jobs/host-live-streaming-marketplace/f02268c5-cc62-42fb-98b3-5c873a958af4?utm_referrer=explore
