Company,Job_title,Location,Salary,Skill,Job_Desc,Links
Sharp Point Bali,STAFF MARKETING,"Mengwi, Kab. Badung, Bali, Indonesia",,,"Pendidikan terakhir minimal D3/S1, Fresh Graduate Welcome, Pengalaman tidak di utamakan yang penting niat dan mau belajar, Pria/Wanita usia max 30 tahun, Di utamakan yang belum menikah, Berpenampilan menarik/rapi, Mempunyai jiwa marketing, Berkomitmen dan bertanggung jawab dalam hal pekerjaan, Mampu berkomunikasi aktif, Mampu bekeria secara individu maupun team, Mampu menggunakan microsoft Office (word, excel)",https://glints.com/id/opportunities/jobs/staff-marketing/a2abbe57-25c2-4643-bad5-d9c8e314620d?utm_referrer=explore
PT. Anugerah Tama Sejati,Staff Telemarketing,"Pabean Cantikan, Surabaya, Jawa Timur, Indonesia",,,,https://glints.com/id/opportunities/jobs/staff-telemarketing/029a1857-0dbc-435f-a4fc-a7adf043802f?utm_referrer=explore
Cakeplabs,2D Artist,"Denpasar Timur, Denpasar, Bali, Indonesia","Rp3,5jt-Rp6jt","Game Industry, good basic design editing skills, 2d Illustration, Proficient In English, 2D Animation, 2d Graphics","Produce 2D Painted Renders of assets and textures for environment Props, objects and scenes for game engine, Understand and follow art requirements and specific needs of the project, Promptly learn any new tools or techniques, Execute tasks assigned to them according to project schedule while meeting quality expectations, Using Checklists to perform initial art and technical quality checks before sending art asset to the Team Leader for review, Fix all problems noted by Team Leader and Art Director, Promptly report to Team Leader about any difficulties encountered, Support Junior Artists helping them to deal with tasks when needed, Creating 2D graphic & UI assets for our simulations, Taking an active part in team meetings: suggesting improvements, actively taking on new roles, providing constructive feedback, etc., Proactively delivering new and inventive ideas that will support the team in efforts of solving day-to-day challenges",https://glints.com/id/opportunities/jobs/2d-artist/9ad82d68-9195-4530-a24b-a563a7f6e10b?utm_referrer=explore
PT. Intan Safety Glass,Recruitment Intern,"Periuk, Tangerang, Banten, Indonesia",,"Culture Change, Interviewing Skills, Database Administration, Talent Search, Administration","Recruitment: Job Posting, Screening, Administer Mass Recruitment, Background Check Process, Branding: Design Engagement Post for LinkedIn and Career@INTAN, Onboarding: Assist in New Employee Orientation Process (Legality, Pendaftaran Absensi, Company Rules & Regulation), Database Administration: Update & manage employee database, absence database, recruitment master tracker, Payroll Administration: Melakukan penarikan data absensi, merekap data absensi, General Administration: Administration of Disciplinary documents, pendaftaran BPJS, pembuatan paklaring",https://glints.com/id/opportunities/jobs/recruitment-intern/4c1be71d-8a14-4eb5-8344-9736632b8dbe?utm_referrer=explore
PT. Intan Safety Glass,Purchasing Staff,"Periuk, Tangerang, Banten, Indonesia",,,,https://glints.com/id/opportunities/jobs/purchasing-staff/8b6fadaf-985c-49b0-b693-382c90f30fdf?utm_referrer=explore
Pt. Kristal Tim Indonesia,Graphic Designer,"Kalideres, Jakarta Barat, DKI Jakarta, Indonesia",,"Desainer Grafis, Graphic Design, Adobe Photoshop",,https://glints.com/id/opportunities/jobs/graphic-designer/01727f84-eb54-4ecd-9cbc-42e62cafff80?utm_referrer=explore
PT OTTEE ONLINE RETAILERS,Host Live Streaming,"Senen, Jakarta Pusat, DKI Jakarta, Indonesia",Rp3jt-Rp6jt,"Memiliki Kemampuan Komunikasi Yang Baik, Pemasaran & Promosi, host live streaming","Melakukan siaran langsung penjualan produk melalui platform Shopee & TikTok., Mempromosikan dan memperkenalkan produk perusahaan kepada audiens., Berinteraksi secara aktif dengan audiens., Dapat berkomunikasi dengan jelas dan memikat menggunakan kemampuan berbicara yang baik., Memahami tren dan topik yang sedang populer untuk menarik minat audiens.",https://glints.com/id/opportunities/jobs/host-live-streaming/bf8e39b0-a531-4e9c-88f0-d2f729c24409?utm_referrer=explore
PT. Haier Electrical Appliances Indonesia,MANDARIN INTERPRETER,"Cikarang Selatan, Kab. Bekasi, Jawa Barat, Indonesia",,"Basic Mandarin, Microsoft Office, Translator Mandarin",,https://glints.com/id/opportunities/jobs/mandarin-interpreter/27b38515-8a30-4302-9447-60823cdf8f02?utm_referrer=explore
PT Modalin Dinamika Mandiri,Telemarketing,"Tangerang, Tangerang, Banten, Indonesia",,,"Pria/Wanita, Bisa bekerja dalam TEAM, Jujur, disiplin, dan memiliki tekat maju yang tinggi, Memiliki kemampuan berkomunikasi dengan baik dan sopan, Mampu bekerja dalam tekanan, Memiliki pengalaman Tele Kartu Kredit / KTA min. 6 bulan",https://glints.com/id/opportunities/jobs/telemarketing/d995d7c5-cd52-4254-a407-50e241b6291c?utm_referrer=explore
Una Brands,Digital Ads Intern,"Cipayung, Jakarta Timur, DKI Jakarta, Indonesia",,,"Mengidentifikasi masalah atau peluang yang bisa diselesaikan menggunakan digital ads, Menganalisa performa ad campaign sebelumnya dan memberikan saran untuk keputusan action plan berdasarkan data, Membantu merencanakan ad campaign di Facebook Ads dan TikTok Ads secara detail mulai dari konsep, ad copy, ad creative, measurement plan, dan KPI, Menyiapkan brief iklan untuk creative design agar produksi iklan berjalan sesuai rencana konsep dan timeline, Bereksperimen dengan kreatif, targeting, platform, placement, copywriting, topik baru dengan melakukan A/B testing dalam rangka mengoptimasi kampanye",https://glints.com/id/opportunities/jobs/digital-ads-intern/0071eeac-889f-4b7f-8451-096b9973f78e?utm_referrer=explore
